Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Tyler Alexander","TEX",0.7719099968671799,-1.1696759182959795,1.941585972905159,4.24399995803833,0.42902540415525436,1.0448851629539773,0.8692054481341921,1.0001738874808601,1.022724948823452,16,0.3442952483892441,0.39445578783460855,6,2,"Tyler Alexander",17735,641302
"Ryan Helsley","BAL",0.21449996531009674,-1.5701839923858643,1.7846840620040894,0.8220001459121704,0.10060052573680878,2.348416328430176,1.8458166122436523,1.8458166122436523,2.5998001098632812,2,0.09938623756170273,-0.008048103554824326,9,2,"Ryan Helsley",18138,664854
"Jake Woodford","MIL",-0.13775600492954254,-0.36168384552001953,0.223927840590477,-4.397000312805176,-0.4522566497325897,0.18512174487113953,0.19658412039279938,0.3069538474082947,2.2045998573303223,2,-0.3286038339138031,-0.4155335175649896,0,2,"Jake Woodford",18674,663765
"Tommy Nance","TOR",-0.13485172390937805,-0.9120159149169922,0.7771641612052917,0.7899999618530273,0.0744330883026123,0.6537452340126038,0.5753833055496216,0.5478799939155579,0.92731112241745,18,0.4292403757572174,-0.6355160270253354,2,2,"Tommy Nance",19178,667297
"Eric Lauer","TOR",-1.2474119663238525,-3.2670798301696777,2.0196679830551147,-9.794600009918213,-1.0115832686424255,0.8581301365272108,0.7455449998378754,0.9264500141143799,0.9635428445679801,7,-0.59510837495327,-0.8585312459229255,0,2,"Eric Lauer",19316,641778
"Keegan Akin","BAL",-0.13870583474636078,-0.7037379220128059,0.565032072365284,-8.386799901723862,-0.8741667158901691,0.6948296240082493,0.5881190470286778,0.6150499780972799,0.6471166809399923,12,-0.23273152858018875,0.033105850638866535,1,2,"Keegan Akin",19362,669211
"Kyle Hart","SDP",0.04039398580789566,-1.180959939956665,1.2213540077209473,1.340000033378601,0.11612379550933838,1.0808371305465698,0.9098033905029297,1.0627833604812622,1.3134181499481201,11,0.2705458104610443,-0.23317294024194962,3,2,"Kyle Hart",19646,606996
"Gregory Soto","PIT",1.4136600494384766,-1.6418440341949463,3.055504083633423,6.433000087738037,0.6559408903121948,1.584963321685791,1.6390666961669922,1.6655083894729614,1.6541999578475952,14,0.6743488311767578,0.21757089346070968,15,2,"Gregory Soto",19677,642397
"Corbin Martin","CHC",-0.5597860217094421,-0.7571679949760437,0.19738200306892395,-3.370000123977661,-0.35969990491867065,0.9749785661697388,0.92054283618927,0.92054283618927,3.4601500034332275,4,-0.02919604256749153,-0.5449560887030397,1,2,"Corbin Martin",19884,656686
"José Suarez","- - -",-0.6798186376690865,-1.5607424369081855,0.8809238132089376,-6.967300057411194,-0.6954427286982536,0.5446991487445995,0.466162012219429,0.6953230769588397,0.5787999828656515,6,-0.6130461785942316,-0.6350164248372312,1,2,"Jose Suarez",19911,660761
