"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rafaela, Ceddanne","678882","129","9.3",38,"108.6","87.1","98.2","91.7","82.2","379","162","364","50",38.8,"10",7.8,5.3
"Grisham, Trent","663757","129","17.1",31,"111.6","91.1","100.8","95.3","88.9","412","187","381","61",47.3,"18",14,9.2
"Cruz, Oneil","665833","128","6.1",32,"119","95.9","107","100.4","93.6","444","163","410","78",60.9,"22",17.2,9.5
"Tovar, Ezequiel","678662","128","13.9",38.3,"108.9","87.5","99","93.7","80.8","413","166","401","46",35.9,"8",6.3,4.2
"O'Hearn, Ryan","656811","127","12",30.7,"108.1","90.3","99.9","94","87","413","162","392","57",44.9,"9",7.1,4.9
"Contreras, Willson","575929","127","14.9",33.9,"113.2","90.1","102.9","95.6","86.6","449","170","410","56",44.1,"20",15.7,9.5
"Vientos, Mark","668901","127","13.7",33.9,"110.2","90.6","101.2","93.3","89.4","434","164","406","59",46.5,"13",10.2,7.6
"Chisholm Jr., Jazz","665862","127","16.9",29.1,"110.9","88.7","99.1","93.1","84.2","413","162","377","46",36.2,"7",5.5,3.3
"Crawford, J.P.","641487","127","11.9",36.2,"107.8","88.2","98.6","93.8","86.2","395","149","376","46",36.2,"10",7.9,5.3
"Horwitz, Spencer","687462","125","15.2",28,"108","86.4","97","90.6","85","409","154","380","39",31.5,"5",4,2.8
"Mullins, Cedric","656775","125","29.2",28,"107.9","87.7","97.4","92.9","84","403","182","379","38",30.9,"2",1.6,1.2
"Judge, Aaron","592450","125","15.2",35.2,"116.2","93.8","105.3","100.6","87","456","198","404","69",55.2,"29",23.2,12.4
"Rice, Ben","700250","124","13.3",40.3,"110.9","92.6","102.8","96.4","88.5","427","183","389","66",53.2,"23",18.5,11.6
"Nuñez, Nasim","683083","124","9.2",29.8,"105.8","84.5","94","88.7","82","355","135",,"23",18.5,"0",0,0
"Andujar, Miguel","609280","124","7.5",29.8,"109","88.8","100.3","93","87.8","412","143","394","49",39.5,"6",4.8,3.9
"Rengifo, Luis","650859","124","4.7",29,"107.3","87.6","98.1","90.9","85.7","373","131",,"46",37.1,"7",5.6,4.5
"Durbin, Caleb","702332","124","8",21.8,"106","84.8","96.2","90.8","83.7","386","111","386","35",28.2,"2",1.6,1.2
"Montgomery, Colson","695657","123","20.2",34.1,"114.4","89.8","101.8","93.6","87.9","442","184","398","52",42.3,"17",13.8,7.9
"Sánchez, Jesús","660821","123","11",34.1,"112.3","90.9","101.1","94.1","89.2","422","164","400","56",45.5,"9",7.3,5.5
"García, Adolis","666969","123","13.8",38.2,"112.1","92.1","101.6","94.3","91.4","421","172","388","60",48.8,"9",7.3,4.3
"Jackson, Jeremiah","669236","122","6.4",30.3,"110.9","89.3","101.1","93.1","86.9","427","146","396","49",40.2,"11",9,6.9
"Hernández, Teoscar","606192","122","12.5",34.4,"110.7","89.5","100.4","93.4","85.6","414","164","383","53",43.4,"14",11.5,7.1
"Okamoto, Kazuma","672960","121","18.4",33.9,"112.6","93.2","103.6","97.9","89.2","453","185","411","64",52.9,"18",14.9,8.6
"Johnston, Troy","687859","121","12",45.5,"106.3","88.8","98.3","91.8","84.5","423","172","415","46",38,"2",1.7,1.1
"Griffin, Konnor","804606","121","4.4",31.4,"113.2","87.4","99.7","93.4","83.4","414","140","401","40",33.1,"10",8.3,5.4
"Smith, Will","669257","121","20.8",43.8,"110.8","89.8","99.8","92.7","84.2","418","214","402","49",40.5,"16",13.2,9.6
"Soler, Jorge","624585","120","15",34.2,"112.7","88.6","101.7","92.6","85","432","168","403","52",43.3,"14",11.7,6.7
"Bauers, Jake","641343","120","8.5",30,"112.4","92.4","102.9","98","88.3","428","161","402","63",52.5,"14",11.7,8
"Ramos, Heliot","671218","119","7.9",33.6,"111.5","92","103.6","97","88.1","437","153","399","58",48.7,"16",13.4,9.1
"Smith, Cam","701358","118","11.6",32.2,"114.7","88.2","101.7","93.7","84.3","462","160","406","51",43.2,"16",13.6,8.1
"Crawford, Justin","702222","118","-0.5",26.3,"106.9","87.4","98.5","92.1","85.7","403","117","382","45",38.1,"2",1.7,1.2
"Gorman, Nolan","669357","117","21.7",36.8,"111.9","89.5","101.2","94.3","80.8","443","196","409","53",45.3,"11",9.4,5.7
"Kurtz, Nick","701762","117","13.2",39.3,"115.9","94.7","106.3","100","89.8","442","176","411","68",58.1,"19",16.2,7.9
"Church, Nathan","701675","115","12",36.5,"110.1","86.1","98.2","92.1","83.4","407","151","387","38",33,"11",9.6,7.1
"Carter, Evan","694497","115","19.1",31.3,"108.2","88.4","99.6","92.3","86.2","404","181","371","45",39.1,"10",8.7,5.5
"Keith, Colt","690993","114","13.8",36,"109.6","88.9","99.5","91.3","87.9","414","161",,"44",38.6,"6",5.3,3.8
"Martin, Austin","668885","114","12.8",33.3,"105.5","86","96.3","89.5","84.1","406","162","392","35",30.7,"3",2.6,1.8
"Muncy, Max","571970","114","14.3",35.1,"110.1","91.8","102.8","97.1","85.8","452","189","407","59",51.8,"21",18.4,11.1
"House, Brady","691781","114","5.5",28.9,"113.4","89","101.5","93.1","85.2","425","148","391","49",43,"12",10.5,6.8
"Goodman, Hunter","696100","113","18",33.6,"111.7","91","102.9","96.2","83.8","435","186","400","52",46,"15",13.3,7.5
"Friedl, TJ","670770","113","16.8",27.4,"106.4","88.1","97.5","89.5","88.2","397","146","364","33",29.2,"3",2.7,1.8
"Soto, Juan","665742","113","14.8",29.2,"114.2","93","103.2","97.9","87.8","449","179","405","57",50.4,"22",19.5,13.8
"Caballero, José","676609","113","8.7",28.3,"108.5","82.9","96.8","92.1","77.4","397","114","365","33",29.2,"4",3.5,2.6
"Acuña Jr., Ronald","660670","113","17.8",31.9,"112.3","89.7","101.7","95.9","84.8","411","171","411","50",44.2,"14",12.4,7.8
"Schwarber, Kyle","656941","112","24.1",37.5,"113.2","93.2","104","97.7","86.6","460","215","404","56",50,"28",25,12.4
"Sheets, Gavin","657757","112","13.9",39.3,"110.1","89.7","100.6","94.2","87.1","434","176","402","52",46.4,"11",9.8,6.7
"Mayer, Marcelo","691785","112","9",27.7,"109.1","86.9","98.4","90.8","85.2","385","143","382","44",39.3,"8",7.1,5.1
"Rutschman, Adley","668939","111","17.7",40.5,"110.3","89","100","92.2","86.3","419","189","399","51",45.9,"10",9,6.8
"Torkelson, Spencer","679529","111","19.5",46.8,"109.8","90.1","100.5","94.9","80.6","435","212","400","48",43.2,"15",13.5,7.4
"Vierling, Matt","663837","111","16.2",36.9,"106.9","87.1","98.7","91.6","84.7","400","177","370","40",36,"7",6.3,4.6
"Moniak, Mickey","666160","111","25.3",32.4,"109.1","89.7","100.2","93.3","88.3","439","206","417","46",41.4,"15",13.5,9.1
"Baty, Brett","683146","110","9.6",34.5,"111.7","90.2","100.6","95.2","86.4","451","164","415","44",40,"10",9.1,5.6
"Story, Trevor","596115","110","12.9",30,"109.6","88.9","99.3","92.2","87.2","424","146","412","46",41.8,"4",3.6,2.3
"Cortes, Carlos","666126","110","8.2",37.3,"110.4","90.9","101","93.6","89.5","409","157","393","49",44.5,"10",9.1,7
"Ozuna, Marcell","542303","109","23.6",38.5,"111.2","89.6","100","94.2","85.7","438","195","408","44",40.4,"9",8.3,5
"Murakami, Munetaka","808959","109","13.5",29.4,"114.1","93.9","104.8","100.3","86.2","451","190","411","63",57.8,"22",20.2,9.7
"Happ, Ian","664023","109","16.7",34.9,"111.5","89.7","101.8","95.1","84.1","431","180","400","47",43.1,"18",16.5,8.2
"Seager, Corey","608369","108","12.6",34.3,"110.3","91.1","102","95.7","86.8","422","173","394","49",45.4,"17",15.7,9.3
"Karros, Kyle","691720","108","11.3",42.6,"111.8","89","99.3","90.2","88.1","448","163","448","41",38,"5",4.6,2.9
"Benintendi, Andrew","643217","107","19.7",40.2,"106.4","88.8","99.2","93","80.1","410","194","396","51",47.7,"11",10.3,6.6
"Laureano, Ramón","657656","107","12",36.4,"107.3","89.1","100.2","94.5","83.7","447","179","405","47",43.9,"15",14,8.1
"Raleigh, Cal","663728","106","23.1",32.1,"109.9","87.5","98.8","93","76.9","418","202","390","33",31.1,"13",12.3,7.2
"Caglianone, Jac","695506","106","6.3",36.8,"116.1","94.4","106.7","100.1","88.6","437","165","408","62",58.5,"17",16,9.9
"Duran, Ezequiel","677649","106","13.6",34.9,"111.5","91.3","100.8","94","90.6","401","159","370","46",43.4,"7",6.6,4.5
"Fernandez, Jose","699912","105","13.7",28.6,"110.9","88.3","100.7","93.5","88.1","409","140","409","43",41,"4",3.8,2.8
"Norby, Connor","681393","104","17.6",31.7,"105.1","86.8","97.2","91.6","83.5","418","170","396","36",34.6,"8",7.7,4.4
"Fortes, Nick","663743","103","6.7",25.2,"108.9","87.3","101","92.6","87.7","408","119","408","46",44.7,"1",1,0.8
"Basallo, Samuel","694212","103","15.4",34,"111.8","93","104.5","96.7","89.4","437","174","404","51",49.5,"11",10.7,6.9
"McCarthy, Jake","664983","103","15.3",35.9,"107.4","83.8","95.3","88.9","80.4","448","155","425","22",21.4,"6",5.8,4.5
"Suzuki, Seiya","673548","103","18.9",35.9,"112.6","88.4","100.1","92.9","85.7","455","175","414","42",40.8,"7",6.8,4.2
"Peraza, Oswald","672724","102","13.5",39.2,"110.3","86.1","98.6","91.3","81.1","418","163","387","32",31.4,"9",8.8,5.9
"Jensen, Carter","695600","102","20.2",28.4,"113.7","89.7","101.4","91.5","90","425","176","387","42",41.2,"9",8.8,5.1
"Yastrzemski, Mike","573262","102","16.2",27.5,"106.2","90.2","98.9","92.6","88.7","398","171","374","38",37.3,"5",4.9,3.2
"Isbel, Kyle","664728","101","13.3",33.7,"107.8","87.6","98.2","91.3","86.7","406","146","390","33",32.7,"4",4,2.7
"Clemens, Kody","665019","101","16",32.7,"107.4","91.9","101","95.1","88.4","419","173","402","42",41.6,"12",11.9,7.8
"Springer, George","543807","101","15.8",26.7,"108.8","87.5","99","93.1","84.5","416","149","387","39",38.6,"8",7.9,5.4
"Jeffers, Ryan","680777","101","21",37.6,"113.4","91.2","102.1","95","88.9","432","185","402","44",43.6,"16",15.8,10.8
"Hayes, Ke'Bryan","663647","100","15.8",39,"106.6","90.5","99.6","92.6","88.6","391","184","365","39",39,"9",9,7
"Scott II, Victor","687363","100","7.1",30,"105.4","87.8","97.1","92","84.7","415","131","406","28",28,"1",1,0.7
"Collins, Isaac","686555","99","17.5",36.4,"110.9","88.9","100.3","92.7","88","400","184","377","42",42.4,"9",9.1,5.2
"Kelly, Carson","608348","99","14.2",30.3,"108.4","89.8","99.6","91.6","90.3","422","155","414","40",40.4,"8",8.1,5.6
"Peters, Tristan","671976","99","17.4",30.3,"105.8","87.3","97.6","91.4","86.2","390","145","363","25",25.3,"5",5.1,3.6
"Larnach, Trevor","663616","97","11.4",35.1,"108.5","86.6","98","92.2","83.4","402","159","381","32",33,"6",6.2,4.1
"Correa, Carlos","621043","97","7.2",36.1,"113.1","89.2","101.7","94.2","85","411","153","384","40",41.2,"10",10.3,7.1
"Pérez, Wenceel","672761","97","14.2",23.7,"106.6","87.8","98.1","92.6","85.4","415","156","388","35",36.1,"6",6.2,4.8
"Torres, Gleyber","650402","96","4.9",36.5,"103.9","83","95","88.1","78","397","146","376","25",26,"6",6.3,4.2
"Freeman, Tyler","671289","96","9.4",35.4,"106.4","86.8","96.9","90","83.8","404","143","361","28",29.2,"0",0,0
"Caratini, Victor","605170","95","10.9",40,"107.2","88.5","98.1","92.5","85.5","423","162","415","35",36.8,"5",5.3,3.5
"Castro, Willi","650489","95","17",29.5,"108.7","89.3","100.1","91.4","87.2","436","169","406","43",45.3,"5",5.3,3.2
"Hamilton, David","666152","95","12",18.9,"109.9","85","96.3","89.4","82.4","379","123",,"25",26.6,"2",2.1,1.4
