Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Carlos Rodriguez","MIL",6,0.24074074,0.76470588,0.4952381,0.38461538,0.79487179,0.69230769,0.48571429,19.4,"Carlos Rodriguez",30161,692230
"Kai-Wei Teng","HOU",37,0.26440678,0.58041958,0.41996558,0.56410256,0.84337349,0.75409836,0.49225473,19.39814815,"Kai-Wei Teng",24282,678906
"Keaton Winn","SFG",23.1,0.29268293,0.67261905,0.48493976,0.47916667,0.85840708,0.74534161,0.5060241,19.39271255,"Keaton Winn",23499,676775
"Ron Marinaccio","SDP",30,0.27173913,0.72916667,0.48449612,0.57333333,0.82857143,0.752,0.46511628,19.39230769,"Ron Marinaccio",23488,676760
"Jeffrey Springs","ATH",61.1,0.32936508,0.60470085,0.46193416,0.6686747,0.84805654,0.78173719,0.48148148,19.37887324,"Jeffrey Springs",17677,605488
"Cole Winn","TEX",19.1,0.36723164,0.73248408,0.53892216,0.55384615,0.8173913,0.72222222,0.47005988,19.3755102,"Cole Winn",22113,668390
"Antonio Senzatela","COL",32,0.32178218,0.66666667,0.49879518,0.64615385,0.83098592,0.77294686,0.51325301,19.375,"Antonio Senzatela",15488,622608
"Mark Leiter Jr.","ATH",22.2,0.35532995,0.61363636,0.4772118,0.48571429,0.89814815,0.73595506,0.47184987,19.37269373,"Mark Leiter Jr.",15551,643410
"Ken Waldichuk","WSN",9.1,0.25301205,0.640625,0.42176871,0.42857143,0.90243902,0.74193548,0.43537415,19.35514019,"Ken Waldichuk",27681,686610
"Drew Pomeranz","LAA",15,0.27642276,0.70833333,0.48971193,0.58823529,0.85882353,0.78151261,0.49382716,19.35260116,"Drew Pomeranz",11426,519141
"Brant Hurter","DET",25.1,0.26229508,0.59322034,0.425,0.70833333,0.88571429,0.83006536,0.49166667,19.3385214,"Brant Hurter",30133,676428
"Michael McGreevy","STL",56.1,0.28008299,0.6505102,0.44622426,0.64444444,0.92156863,0.82564103,0.44851259,19.33841463,"Michael McGreevy",29869,700241
"Slade Cecconi","CLE",57.1,0.27663934,0.65384615,0.46129707,0.65185185,0.89869281,0.82312925,0.48953975,19.33714286,"Slade Cecconi",27500,677944
"Griffin Canning","SDP",16,0.22891566,0.64285714,0.40753425,0.47368421,0.83950617,0.72268908,0.43150685,19.33640553,"Griffin Canning",19867,656288
"Brad Lord","WSN",35,0.36111111,0.68438538,0.52631579,0.67307692,0.8592233,0.79677419,0.51103565,19.33408578,"Brad Lord",31972,695418
"Jonathan Pintaro","NYM",1,0.5,0.83333333,0.66666667,0.66666667,1,0.875,0.5,19.33333333,"Jonathan Pintaro",33980,702752
"Kevin Ginkel","ARI",20.2,0.35135135,0.66233766,0.49262537,0.53846154,0.87254902,0.74251497,0.45427729,19.32684825,"Kevin Ginkel",19876,656464
"Shota Imanaga","CHC",64.2,0.38035714,0.66445916,0.50740375,0.57746479,0.80398671,0.71011673,0.44718657,19.32669323,"Shota Imanaga",33829,684007
"Cam Sanders","PIT",5,0.3015873,0.73333333,0.48148148,0.42105263,0.84848485,0.69230769,0.41666667,19.325,"Cam Sanders",23479,676742
"Mason Miller","SDP",23.2,0.38967136,0.53529412,0.45430809,0.3253012,0.63736264,0.48850575,0.44386423,19.32179931,"Mason Miller",31757,695243
"Andre Granillo","WSN",9.1,0.19266055,0.58426966,0.36868687,0.85714286,0.92307692,0.90410959,0.44949495,19.31972789,"Andre Granillo",29542,701552
"Keider Montero","DET",49.1,0.21884498,0.66230366,0.45710267,0.66666667,0.90909091,0.85538462,0.53727145,19.31568627,"Keider Montero",22630,672456
"Nick Pivetta","SDP",16,0.39869281,0.6031746,0.49103943,0.60655738,0.88157895,0.75912409,0.4516129,19.30985915,"Nick Pivetta",15454,601713
"Nick Lodolo","CIN",15,0.28571429,0.70434783,0.46946565,0.54761905,0.91358025,0.78861789,0.4389313,19.30769231,"Nick Lodolo",26378,666157
"Steven Okert","HOU",22.1,0.28742515,0.69714286,0.49707602,0.58333333,0.77868852,0.72352941,0.51169591,19.29644269,"Steven Okert",13580,595345
"Jackson Rutledge","WSN",1.1,0.31578947,0.68,0.52272727,0.5,0.70588235,0.65217391,0.56818182,19.29032258,"Jackson Rutledge",26215,671131
"Alec Gamboa","BOS",1,0,0.77777778,0.5,,0.85714286,0.85714286,0.64285714,19.27272727,"Alec Gamboa",26227,687941
"Chase Dollander","COL",44,0.27586207,0.69125683,0.48048452,0.58653846,0.81818182,0.75070028,0.49259758,19.26134301,"Chase Dollander",33482,801403
"Gregory Soto","PIT",24.1,0.25943396,0.59782609,0.41666667,0.52727273,0.84545455,0.73939394,0.46464646,19.24666667,"Gregory Soto",19677,642397
"Joe Ryan","MIN",56.2,0.31497797,0.6743215,0.49946409,0.63636364,0.81733746,0.76180258,0.51339764,19.24643875,"Joe Ryan",21390,657746
"Connelly Early","BOS",54,0.32285115,0.60628019,0.45454545,0.64935065,0.89243028,0.8,0.46464646,19.2439759,"Connelly Early",33666,813349
"Max Scherzer","TOR",18.2,0.30167598,0.72560976,0.50437318,0.75925926,0.92436975,0.87283237,0.47813411,19.23255814,"Max Scherzer",3137,453286
"Roki Sasaki","LAD",45.2,0.31100478,0.67258883,0.4864532,0.53846154,0.8490566,0.74683544,0.48522167,19.2306425,"Roki Sasaki",35323,808963
"Hunter Stratton","ATL",1,0.5,0.83333333,0.66666667,0.66666667,1,0.875,0.5,19.22222222,"Hunter Stratton",23455,676702
"Brandan Bidois","PIT",5.1,0.39215686,0.71052632,0.52808989,0.65,0.74074074,0.70212766,0.42696629,19.21538462,"Brandan Bidois",28052,684049
"Robert Gasser","MIL",8.1,0.2688172,0.6,0.41666667,0.64,0.91111111,0.81428571,0.44642857,19.21259843,"Robert Gasser",29812,688107
"Grant Anderson","MIL",21.1,0.27950311,0.68789809,0.48113208,0.57777778,0.84259259,0.76470588,0.49371069,19.21186441,"Grant Anderson",20546,681982
"Sean Burke","CHW",53,0.32873563,0.6347032,0.48224513,0.67832168,0.89928058,0.82422803,0.50171821,19.21085271,"Sean Burke",29878,680732
"Easton McGee","MIL",2,0.18181818,0.90909091,0.54545455,0.5,0.8,0.75,0.5,19.1875,"Easton McGee",22176,668834
"Joel Kuhnel","ATH",20.2,0.30065359,0.68939394,0.48070175,0.5,0.91208791,0.77372263,0.46315789,19.185,"Joel Kuhnel",19995,669270
"Clay Holmes","NYM",52.2,0.3225058,0.62972292,0.46980676,0.61870504,0.908,0.80462725,0.4794686,19.18330606,"Clay Holmes",13649,605280
"Tim Herrin","CLE",17,0.26708075,0.6875,0.46557377,0.53488372,0.7979798,0.71830986,0.47213115,19.17857143,"Tim Herrin",25139,682120
"Jared Shuster","STL",7.2,0.26984127,0.60784314,0.42105263,0.88235294,0.93548387,0.91666667,0.44736842,19.1686747,"Jared Shuster",27472,694363
"Scott Barlow","ATH",25,0.33628319,0.6,0.44148936,0.40789474,0.83333333,0.63855422,0.39893617,19.16849817,"Scott Barlow",14993,605130
"Wyatt Mills","LAD",3.1,0.16,0.75,0.3902439,0.875,0.79166667,0.8125,0.3902439,19.16129032,"Wyatt Mills",20010,670090
"Taylor Rogers","MIN",19.1,0.26404494,0.63975155,0.44247788,0.68085106,0.91262136,0.84,0.47492625,19.15139442,"Taylor Rogers",13449,573124
"Miles Mikolas","WSN",46.2,0.27390181,0.64141414,0.45977011,0.74528302,0.88188976,0.84166667,0.50574713,19.14685315,"Miles Mikolas",9803,571945
"Jake Bird","NYY",16.1,0.22580645,0.57333333,0.41605839,0.64285714,0.72093023,0.70175439,0.54744526,19.14285714,"Jake Bird",21267,656234
"Walbert Ureña","LAA",38.1,0.32460733,0.61672474,0.44992526,0.60483871,0.83615819,0.74086379,0.42899851,19.12749004,"Walbert Urena",29357,700712
"Doug Nikhazy","CHW",2,0.04347826,0.6875,0.30769231,0,0.72727273,0.66666667,0.41025641,19.10344828,"Doug Nikhazy",30142,680951
"Tommy Nance","TOR",21,0.36,0.57594937,0.47077922,0.55555556,0.86813187,0.75172414,0.51298701,19.09633028,"Tommy Nance",19178,667297
"Austin Warren","NYM",15.2,0.29285714,0.55752212,0.41106719,0.53658537,0.92063492,0.76923077,0.44664032,19.08602151,"Austin Warren",24937,681810
"Taylor Clarke","ARI",22.2,0.26829268,0.70198675,0.47619048,0.63636364,0.89622642,0.82,0.47936508,19.07359307,"Taylor Clarke",17611,664199
"Luis Curvelo","TEX",5,0.32,0.75,0.58461538,0.875,0.7,0.73684211,0.61538462,19.06666667,"Luis Curvelo",24710,681168
"Janson Junk","MIA",55,0.29353234,0.66956522,0.49419954,0.70338983,0.89935065,0.84507042,0.53364269,19.0589172,"Janson Junk",23301,676083
"Aaron Ashby","MIL",31,0.32236842,0.50847458,0.4037037,0.3877551,0.875,0.6559633,0.43703704,19.05459057,"Aaron Ashby",23550,676879
"Eli Morgan","KCR",12.1,0.3047619,0.61764706,0.4589372,0.5625,0.92063492,0.8,0.49275362,19.05369128,"Eli Morgan",20203,669212
"Drew Anderson","DET",33.2,0.31464174,0.68674699,0.47719298,0.5049505,0.83040936,0.70955882,0.43684211,19.04449649,"Drew Anderson",15130,623454
"Cade Povich","BAL",19.1,0.31012658,0.63013699,0.46381579,0.51020408,0.89130435,0.75886525,0.48026316,19.04090909,"Cade Povich",30055,700249
"Bryan Hudson","CHW",24.1,0.2393617,0.64347826,0.46172249,0.66666667,0.79054054,0.76165803,0.55023923,19.03481013,"Bryan Hudson",19924,663542
"Dylan Dodd","ATL",8,0.4,0.6744186,0.52688172,0.5,0.86206897,0.71428571,0.46236559,19.03125,"Dylan Dodd",29928,689266
"Louis Varland","TOR",27.2,0.34136546,0.68609865,0.50423729,0.56470588,0.8627451,0.75630252,0.47245763,19.03030303,"Louis Varland",27691,686973
"Tyler Phillips","MIA",33.2,0.35873016,0.55186722,0.44244604,0.46017699,0.90225564,0.69918699,0.43345324,19.02702703,"Tyler Phillips",20629,663969
