Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Anthony Nunez","BAL",10.647889326262817,3.042254093217948,3.5,1.521127046608974,0.28,0.08,0.2,0.21739130434782608,1.183098814029202,0.26666666666666666,0.49107143,122.73850715700819,96.53381006966364,72.25588215166583,4.943662901479165,3.926934652341764,1.016728249137401,2.9597865012368887,2.8917461183757784,"Anthony Nunez",25796,689296
"Will Klein","LAD",9.703126445878512,2.531250377185699,3.83333333,0,0.26436782,0.06896552,0.1954023,0.225,1.1250001676380885,0.3157894736842105,0.8,52.61254300578701,46.09164817277742,76.36626407528121,2.1093753143214156,1.9099888962693259,0.19938641805208968,3.0796206890987787,2.8813038636437454,"Will Klein",27787,694361
"Jack Perkins","ATH",10.622952480465074,2.21311510009689,4.8,0,0.25263158,0.05263158,0.2,0.27380952380952384,1.3770493956158427,0.38333333333333336,0.58823529,126.41811215624472,56.260575049314376,92.23568931532193,5.311476240232537,2.344159037526704,2.967317202705833,3.7758394938864352,2.865518552009783,"Jack Perkins",31468,678022
"Gregory Soto","PIT",11.095890990787192,3.6986303302623975,3,0.36986303302623974,0.31914894,0.10638298,0.21276596,0.12195121951219512,0.8219178511694216,0.17647058823529413,0.72815534,54.04302595620797,65.51276923391545,87.25064028100174,2.2191781981574383,2.629809252749152,-0.4106310545917138,3.5197716962606025,2.854996473913889,"Gregory Soto",19677,642397
"Garrett Acton","MIN",12.150001158714405,4.050000386238135,3,0,0.32142857,0.10714286,0.21428571,0.16666666666666666,1.0500001001358128,0.26666666666666666,0.375,65.5733475825586,53.21346326307238,88.84634982472677,2.70000025749209,2.181863985061638,0.5181362724304521,3.6374056936124926,2.85486493703164,"Garrett Acton",27583,670183
"Paul Skenes","PIT",9.75,1.35,7.22222222,0.9,0.28017241,0.0387931,0.24137931,0.182648401826484,0.8166666666666667,0.22972972972972974,0.69506726,73.05816090084072,71.35768817862304,74.91019393407218,3,2.8651974042256674,0.13480259577433262,3.0207389739652477,2.8479256948527985,"Paul Skenes",33677,694973
"Chase Shugart","PHI",9.169812640756952,2.0377361423904334,4.5,1.0188680711952167,0.26470588,0.05882353,0.20588235,0.19672131147540983,0.9056605077290816,0.24390243902439024,0.98765432,37.31896124192763,90.17674310876099,90.3521475625953,1.5283021067928253,3.704505669956078,-2.1762035631632526,3.6451928989011053,2.839670571401346,"Chase Shugart",21544,663767
"Tyler Glasnow","LAD",11.117647771604378,2.9495800210378964,3.76923077,1.1344538542453448,0.33108108,0.08783784,0.24324324,0.14814814814814814,0.8319328264465862,0.18518518518518517,0.80769231,67.90996571088456,77.87930986791258,69.02295847131067,2.7226892501888273,3.2331245847917134,-0.510435334602886,2.782666293514218,2.8367100629707673,"Tyler Glasnow",14374,607192
"Kyle Harrison","MIL",11.627737873814597,2.7591242412441415,4.21428571,0.5912409088380304,0.32240437,0.07650273,0.24590164,0.21084337349397592,1.0729927604838327,0.3076923076923077,0.89958159,44.35075160008479,61.153759477749716,71.66822564056233,1.773722726514091,2.4687253506158577,-0.6950026241017668,2.8896376979155365,2.8268893710480345,"Kyle Harrison",27758,690986
"Rolddy Muñoz","ATL",13.5,4.5,3,4.5,0.25,0.08333333,0.16666667,0.45454545454545453,3,0.5714285714285714,0.65217391,333.41414645896594,204.027980754541,73.6083538880194,13.5,8.081864070892333,5.418135929107667,2.968094137310982,2.823178280713279,"Rolddy Munoz",27407,691548
