Name,Team,PA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"George Valera","CLE",38,0.40350877,0.72580645,0.57142857,0.73913043,0.88888889,0.83823529,0.5210084,19.32098765,"George Valera",22541,671655
"Andrew Vaughn","MIL",55,0.24242424,0.66304348,0.44502618,0.625,0.90163934,0.82352941,0.48167539,19.31818182,"Andrew Vaughn",26197,683734
"Luke Keaschall","MIN",201,0.23891626,0.58967391,0.40568475,0.70103093,0.93548387,0.86305732,0.4754522,19.31754386,"Luke Keaschall",33321,807712
"Michael Helman","TEX",12,0.43478261,0.61904762,0.52272727,0.6,0.84615385,0.73913043,0.47727273,19.3125,"Michael Helman",24605,680737
"J.C. Escarra","NYY",56,0.27868852,0.68,0.45945946,0.41176471,0.82352941,0.68627451,0.45045045,19.31097561,"J.C. Escarra",20084,641555
"Heliot Ramos","SFG",176,0.37172775,0.74846626,0.54519774,0.54225352,0.87704918,0.75388601,0.46045198,19.30956848,"Heliot Ramos",22515,671218
"Bryson Stott","PHI",177,0.32091691,0.52199413,0.42028986,0.73214286,0.92134831,0.84827586,0.4942029,19.30844794,"Bryson Stott",26294,681082
"David Fry","CLE",86,0.26267281,0.5988024,0.40885417,0.61403509,0.79,0.72611465,0.43489583,19.30536913,"David Fry",24934,681807
"José Azocar","ATL",16,0.44117647,0.71428571,0.56451613,0.66666667,0.8,0.74285714,0.4516129,19.30434783,"Jose Azocar",18821,640492
"Brandon Marsh","PHI",188,0.38278932,0.68253968,0.52760736,0.62015504,0.92093023,0.80813953,0.48312883,19.3008658,"Brandon Marsh",20202,669016
"Henry Davis","PIT",116,0.2979798,0.70232558,0.50847458,0.54237288,0.90066225,0.8,0.52058111,19.30067568,"Henry Davis",29617,680779
"Luis Robert Jr.","NYM",98,0.32057416,0.64497041,0.46560847,0.53731343,0.88073394,0.75,0.44708995,19.29856115,"Luis Robert Jr.",20043,673357
"Jo Adell","LAA",224,0.38815789,0.7625,0.56308411,0.55367232,0.85901639,0.74688797,0.46728972,19.29617834,"Jo Adell",20220,666176
"Luis Torrens","NYM",85,0.35555556,0.67549669,0.50151057,0.640625,0.84313725,0.76506024,0.45619335,19.28861789,"Luis Torrens",15905,620443
"Carson Kelly","CHC",142,0.28082192,0.65882353,0.45703839,0.53658537,0.91666667,0.792,0.46617916,19.28039702,"Carson Kelly",13620,608348
"Sterlin Thompson","COL",19,0.25,0.83333333,0.53225806,0.625,0.88,0.81818182,0.48387097,19.27906977,"Sterlin Thompson",31443,694514
"Troy Johnston","COL",175,0.36607143,0.62706271,0.48982786,0.62601626,0.87368421,0.77635783,0.4741784,19.27233115,"Troy Johnston",26143,687859
"Bryce Eldridge","SFG",43,0.36363636,0.7012987,0.51136364,0.58333333,0.85185185,0.74444444,0.4375,19.27067669,"Bryce Eldridge",33390,805811
"Freddy Fermin","SDP",104,0.34080717,0.72316384,0.51,0.52631579,0.875,0.74509804,0.4425,19.26936027,"Freddy Fermin",21840,666023
"Zack Gelof","ATH",125,0.21818182,0.66536965,0.4591195,0.60416667,0.77192982,0.73515982,0.53878407,19.26571429,"Zack Gelof",29766,680869
"Oneil Cruz","PIT",232,0.33786408,0.59427208,0.45289079,0.44827586,0.78313253,0.64539007,0.44860814,19.26323319,"Oneil Cruz",21711,665833
"Luken Baker","ARI",5,0.375,0.25,0.33333333,0.33333333,1,0.5,0.33333333,19.26315789,"Luken Baker",21497,663609
