Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Cam Sanders","PIT",0,0,10.800002059936917,5,0,0,0,0,0,0,0,5,27,6,6,6,0,5,0,1,1,0,7,"Cam Sanders",23479,676742
"Zak Kent","- - -",0,0,5.7857150739554095,6,0,0,0,0,0,0,0,9.1,44,10,9,6,3,5,0,0,0,0,7,"Zak Kent",25703,687849
"Blas Castaño","COL",0,0,3.3750004023314,3,0,0,0,0,0,0,0,8,35,8,3,3,1,4,0,2,0,0,7,"Blas Castano",26117,680604
"Brandon Eisert","CHW",0,0,5.14285784351592,7,0,0,0,0,0,0,0,7,35,9,4,4,0,5,0,0,0,0,7,"Brandon Eisert",27668,685126
"Kyle Nicolas","CIN",1,0,8.590910580532869,7,0,0,0,0,0,0,0,7.1,42,8,7,7,1,13,0,0,2,0,7,"Kyle Nicolas",27775,693312
"Coleman Crow","MIL",0,0,2.6129033061889926,2,2,0,0,0,0,0,0,10.1,40,7,3,3,0,1,0,1,0,0,7,"Coleman Crow",27926,689441
"Robert Gasser","MIL",0,1,6.480000247192392,2,2,0,0,0,0,0,0,8.1,41,7,7,6,1,6,0,3,0,0,7,"Robert Gasser",29812,688107
"Luis Morales","ATH",0,2,14.464286206936366,3,2,0,0,0,0,0,0,9.1,55,17,15,15,5,12,0,1,1,0,7,"Luis Morales",32227,806960
"Brandyn Garcia","ARI",0,0,1.1739132868545545,9,0,0,0,0,0,3,0,7.2,29,5,1,1,0,2,0,1,1,0,7,"Brandyn Garcia",33568,805299
"Luis García","- - -",0,1,9.000000572204627,15,0,0,0,0,2,1,1,15,74,23,16,15,2,6,0,1,0,0,6,"Luis Garcia",6984,472610
"Danny Coulombe","BOS",0,1,5.000002649096727,13,0,0,0,0,0,3,0,9,40,9,5,5,1,4,0,1,0,0,6,"Danny Coulombe",13293,543056
"José Urquidy","PIT",0,1,8.526316217438357,5,0,0,0,0,1,0,0,6.1,36,15,10,6,1,2,0,0,0,0,6,"Jose Urquidy",18413,664353
"Bailey Falter","KCR",0,1,9.818182243788556,4,1,0,0,0,0,0,0,7.1,41,15,8,8,1,6,0,0,1,0,6,"Bailey Falter",20070,663559
"Zach Pop","PHI",0,0,3.681818341420709,7,1,0,0,0,0,0,0,7.1,31,5,3,3,0,3,0,1,0,0,6,"Zach Pop",20185,647315
"Nick Sandlin","LAA",0,1,11.42307901805713,8,0,0,0,0,0,0,0,8.2,40,9,11,11,2,5,0,3,0,0,6,"Nick Sandlin",20517,680704
"Yerry De los Santos","NYY",0,0,1.687500100582844,2,0,0,0,0,0,0,0,5.1,21,4,1,1,1,3,0,0,0,0,6,"Yerry De los Santos",21420,660787
"Brendon Little","TOR",0,2,24.545466781653836,5,0,0,0,0,0,0,2,3.2,24,10,11,10,3,3,1,0,0,0,6,"Brendon Little",21574,663893
"Robert Garcia","TEX",0,1,3.3750008046628963,9,0,0,0,0,0,2,1,8,34,5,5,3,0,7,0,0,0,0,6,"Robert Garcia",23363,676395
"Roddery Muñoz","HOU",0,0,15.750003755093516,3,0,0,0,0,0,0,0,4,25,7,7,7,3,6,0,0,2,0,6,"Roddery Munoz",25311,682610
"Chris Murphy","CHW",1,0,10.500001668930318,6,0,0,0,0,1,0,0,6,32,9,7,7,1,5,0,0,1,0,6,"Chris Murphy",26214,669684
"Christian Roa","HOU",0,1,5.1923092159298285,7,0,0,0,0,0,0,0,8.2,43,10,5,5,1,7,0,3,0,0,6,"Christian Roa",27662,685005
"Wilber Dotel","PIT",0,0,2.3478262816575324,4,0,0,0,0,0,0,0,7.2,31,5,2,2,1,3,0,0,0,0,6,"Wilber Dotel",28901,696062
"Jack Anderson","BOS",0,0,3.375,3,0,0,0,0,0,0,0,8,32,8,3,3,1,2,0,0,0,0,6,"Jack Anderson",30086,681252
"Carter Baumler","TEX",0,0,3.176470944625736,4,0,0,0,0,0,0,0,5.2,27,4,2,2,1,6,0,1,0,0,6,"Carter Baumler",30231,691945
"Elmer Rodríguez","NYY",0,1,4.153846458570514,3,3,0,0,0,0,0,0,13,64,15,6,6,0,9,0,3,1,0,6,"Elmer Rodriguez",31811,695684
"George Klassen","LAA",0,1,11.571430147910819,2,2,0,0,0,0,0,0,4.2,32,7,7,6,1,10,0,0,2,0,6,"George Klassen",33464,691946
"Blake Snell","LAD",0,1,12,1,1,0,0,0,0,0,0,3,18,6,5,4,0,2,0,0,0,0,5,"Blake Snell",13543,605483
"Lucas Giolito","SDP",2,0,2.7,2,2,0,0,0,0,0,0,10,41,5,3,3,0,8,0,1,1,0,5,"Lucas Giolito",15474,608337
"Trent Thornton","CHC",2,0,2.076923229285257,7,0,0,0,0,0,0,0,8.2,33,5,2,2,1,3,1,0,1,0,5,"Trent Thornton",17948,663423
"Alan Rangel","PHI",0,0,3,1,0,0,0,0,0,0,0,3,12,3,1,1,0,0,0,0,0,0,5,"Alan Rangel",19524,660604
"Braxton Garrett","MIA",0,1,14.538462604996798,2,2,0,0,0,0,0,0,4.1,28,7,7,7,0,8,0,0,0,0,5,"Braxton Garrett",21844,666129
"Brenan Hanifee","DET",0,0,1.9285716913184698,7,2,0,0,0,0,0,0,9.1,37,9,2,2,1,1,0,0,0,0,5,"Brenan Hanifee",22304,669724
"José Buttó","SFG",0,0,22.500012069947044,3,0,0,0,0,0,0,0,2,16,6,5,5,2,4,0,0,0,0,5,"Jose Butto",23313,676130
"Josh Walker","BAL",0,0,4.5,3,0,0,0,0,0,0,0,4,16,3,2,2,1,2,0,0,0,0,5,"Josh Walker",23617,677020
"Joey Gerber","NYM",0,0,0,1,0,0,0,0,0,0,0,2,9,2,0,0,0,1,0,0,0,0,5,"Joey Gerber",24591,680702
"Domingo Gonzalez","SEA",0,0,0,4,0,0,0,0,0,0,0,5.2,24,5,0,0,0,3,0,0,0,0,5,"Domingo Gonzalez",25241,682445
"Alek Manoah","LAA",0,0,9.818182243788556,3,0,0,0,0,0,0,0,7.1,39,8,9,8,1,8,0,0,0,0,5,"Alek Manoah",26410,666201
"Jayden Murray","HOU",0,0,7.147059023999018,7,0,0,0,0,0,0,0,11.1,53,16,9,9,0,7,0,0,0,0,5,"Jayden Murray",26482,681151
"Eric Cerantola","KCR",0,0,9,2,0,0,0,0,0,0,0,3,14,2,3,3,1,4,0,0,0,0,5,"Eric Cerantola",30128,672021
"Carlos Rodriguez","MIL",0,0,1.5,3,0,0,0,0,0,0,0,6,25,5,1,1,1,2,0,0,0,0,5,"Carlos Rodriguez",30161,692230
"Mason Black","KCR",0,0,0,4,0,0,0,0,0,0,0,4.2,22,7,0,0,0,2,0,0,0,0,5,"Mason Black",30171,696131
"Paul Gervase","LAD",0,0,1.8,2,0,0,0,0,0,0,0,5,21,5,1,1,0,2,0,0,0,0,5,"Paul Gervase",31571,801434
"Cade Gibson","MIA",0,0,14.727275280913489,2,0,0,0,0,0,0,0,3.2,22,8,6,6,1,2,0,3,0,0,5,"Cade Gibson",31815,806188
"Matt Pushard","STL",0,0,6.230769687855771,4,0,0,0,0,0,0,0,4.1,19,3,3,3,0,3,0,1,1,0,5,"Matt Pushard",31870,690155
"Josh Ekness","MIA",0,0,1.687500100582844,6,0,0,0,0,1,0,1,5.1,22,2,1,1,0,5,0,0,1,0,5,"Josh Ekness",33785,694795
"Ryan Johnson","LAA",0,1,15.120000576782248,4,1,0,0,0,0,0,0,8.1,47,15,14,14,3,7,0,0,1,0,5,"Ryan Johnson",35325,696270
"Michael Kelly","ATH",0,0,6.230769687855771,4,0,0,0,0,0,0,1,4.1,22,6,3,3,1,4,0,0,0,0,4,"Michael Kelly",12791,547184
"Hunter Harvey","CHC",0,1,6.750001609325793,4,0,0,0,0,0,0,0,4,18,5,3,3,2,1,0,0,0,0,4,"Hunter Harvey",15507,640451
"Cristian Javier","HOU",0,1,12.535715993570054,3,3,0,0,0,0,0,0,9.1,48,13,13,13,2,9,0,2,0,0,4,"Cristian Javier",17606,664299
"Joey Lucchesi","LAA",0,1,13.50000997782491,5,0,0,0,0,0,1,1,3.1,24,7,6,5,1,6,0,1,0,0,4,"Joey Lucchesi",19320,664192
"Corbin Martin","CHC",0,0,10.8,7,0,0,0,0,1,0,0,5,25,5,6,6,2,5,0,0,1,0,4,"Corbin Martin",19884,656686
"J.P. France","HOU",0,0,8.10000077247627,3,0,0,0,0,0,0,0,6.2,31,6,6,6,1,5,0,1,1,0,4,"J.P. France",21212,641585
"Bennett Sousa","HOU",0,0,8.10000077247627,5,0,0,0,0,0,0,0,3.1,17,3,3,3,0,5,0,0,0,0,4,"Bennett Sousa",21345,656986
"Chase Solesky","TBR",0,0,6,1,0,0,0,0,0,0,0,3,17,6,2,2,1,1,0,0,0,0,4,"Chase Solesky",25480,686678
"Seth Johnson","PHI",0,0,7.363637640456744,3,0,0,0,0,0,0,0,3.2,21,5,5,3,0,3,0,1,0,0,4,"Seth Johnson",26020,686751
"Taylor Rashi","ARI",1,0,9.818183520608992,3,0,0,0,0,0,0,0,3.2,15,3,4,4,1,1,0,0,0,0,4,"Taylor Rashi",26344,688497
"Jared Koenig","MIL",0,0,0,3,0,0,0,0,0,1,0,2.1,13,3,2,0,0,2,2,0,1,0,4,"Jared Koenig",27517,657649
"Nick Davila","SEA",0,0,0,7,0,0,0,0,0,1,0,7.1,29,3,0,0,0,6,0,0,0,0,4,"Nick Davila",27741,689546
"Brandan Bidois","PIT",0,0,3.375000201165688,5,0,0,0,0,0,0,0,5.1,21,4,2,2,2,3,0,0,0,0,4,"Brandan Bidois",28052,684049
"Ben Casparius","LAD",0,1,9.64285845659235,5,0,0,0,0,0,0,0,4.2,23,6,5,5,1,4,0,0,0,0,4,"Ben Casparius",30085,676508
"Hunter Dobbins","STL",0,0,6.230769687855771,1,1,0,0,0,0,0,0,4.1,19,2,3,3,0,5,0,0,0,0,4,"Hunter Dobbins",30240,690928
"Brian Fitzpatrick","MIL",0,0,1.588235472312868,4,0,0,0,0,0,0,0,5.2,27,7,2,1,0,3,0,0,0,1,4,"Brian Fitzpatrick",31624,702153
"Cade Horton","CHC",1,0,2.454545560947139,2,2,1,0,0,0,0,0,7.1,26,4,2,2,1,2,0,0,0,0,4,"Cade Horton",31872,690990
"Trevor Martin","TBR",0,0,6.230769687855771,3,0,0,0,0,0,0,0,4.1,21,6,3,3,1,1,0,1,1,0,4,"Trevor Martin",31878,694680
