Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Sam Jethroe,1006407,116542,OF,BSN,2.8915588680549216,,3.24,12.176547117508957,-2.870370328426361,6.825041374657303,,,,,106.46130404995245,0.3543851600379824,,,,,0.779608925,0.441580756,0.338028169,0.273195876,0.16838488,0.299363057,141,642,582,100,58,18,54,257,159,105,28,8,35,52,,93,0.144859813,0.080996884,,,,,,,,,-2.0,,,,,,,,0.0
Johnny Hopp,1006022,116145,1B,- - -,2.868764068228993,,3.51,24.4891945159504,-7.617283940315247,0.8222778886556625,,,,,145.76439737227264,0.4313978552818298,,,,,0.953228926,0.527536231,0.425692695,0.339130434,0.188405797,0.339622641,125,397,345,60,55,9,41,182,117,76,26,6,7,51,,18,0.04534005,0.128463476,,,,,,,,,-2.0,,,,,,,,0.0
Jerry Coleman,1002423,112475,2B,NYY,2.7911935356317237,,2.83,-1.810551425936497,8.901546955108643,-0.4830847808625549,,,,,98.39953866606136,0.3537032278002919,,,,,0.752847674,0.381226053,0.371621621,0.287356321,0.093869732,0.30125523,153,602,522,69,69,6,31,199,150,119,19,6,3,67,,38,0.063122923,0.111295681,,,,,,,,,4.0,,,,,,,,0.0
Chico Carrasquel,1001984,112033,SS,CHW,2.774236103659625,,2.74,-6.862916977998211,13.70370388031006,-1.0830847898032516,,,,,93.04309653174784,0.346405851740797,,,,,0.732571042,0.364503816,0.368067226,0.282442748,0.082061068,0.303797468,141,603,524,72,46,4,30,191,148,118,21,5,0,66,,46,0.07628524,0.109452736,,,,,,,,,5.0,,,,,,,,0.0
Ray Boone,1001189,111220,SS,CLE,2.772149734153219,,2.7,10.253043464797004,3.2962961196899414,-0.6707282902207226,,,,,118.65527894849085,0.3843072471043742,,,,,0.827300106,0.430136986,0.39716312,0.301369863,0.128767123,0.311178247,109,425,365,53,58,7,27,157,110,83,14,6,4,56,,27,0.063529411,0.131764705,,,,,,,,,-3.0,,,,,,,,0.0
Ferris Fain,1003902,113979,1B,PHA,2.7538024412425246,,3.34,16.230772854869038,-11.320987701416016,-0.8609337424859405,,,,,118.85287532200536,0.3963503693555988,,,,,0.832390035,0.40229885,0.430091185,0.281609195,0.120689655,0.281893004,151,658,522,83,83,10,39,210,147,108,25,4,8,133,,26,0.039513677,0.202127659,,,,,,,,,-2.0,,,,,,,,0.0
Wally Westlake,1013807,124118,OF,PIT,2.727481923015573,,2.79,11.077061406238148,-0.1296296119689941,0.0423211478628218,,,,,116.0176967893006,0.3839206663065387,,,,,0.851685029,0.492662473,0.359022556,0.285115303,0.20754717,0.298666666,139,534,477,69,95,24,45,235,136,91,15,6,1,48,,78,0.146067415,0.08988764,,,,,,,,,2.0,,,,,,,,0.0
Billy Goodman,1004856,114952,OF,BOS,2.6566295013222585,,2.66,13.03912248858362,-2.9691357612609863,-1.5436911890283227,,,,,121.82316058601268,0.4087143061550092,,,,,0.881966921,0.455188679,0.426778242,0.353773584,0.101415095,0.369620253,110,485,424,91,68,4,32,193,150,118,25,3,2,52,,25,0.051546391,0.107216494,,,,,,,,,0.0,,,,,,,,0.0
Gene Woodling,1014228,124554,OF,NYY,2.628412399955474,,2.37,4.852735119914545,3.209876537322998,-0.4934081225655973,,,,,107.4191980114717,0.3689136111965546,,,,,0.792795956,0.412026726,0.38076923,0.282850779,0.129175947,0.29368932,122,523,449,81,60,6,36,185,127,91,20,10,5,70,,31,0.059273422,0.133843212,,,,,,,,,9.0,,,,,,,,0.0
Bobby Thomson,1013032,123308,OF,NYG,2.6085466193846596,,3.0,-0.5423185302677243,7.080246984958649,0.4401611695066094,,,,,98.78150772918896,0.3497038506581351,,,,,0.77361589,0.44937833,0.32423756,0.252220248,0.197158082,0.237322515,149,625,563,79,85,25,54,253,142,88,22,7,3,55,,45,0.072,0.088,,,,,,,,,8.0,,,,,,,,0.0
Hank Bauer,1000679,110697,OF,NYY,2.503715262373255,,2.54,9.84713912108619,-0.5802469253540039,-1.0718082883395257,,,,,117.30347605729104,0.3855820520893558,,,,,0.842870382,0.462650602,0.38021978,0.320481927,0.142168675,0.332409972,113,458,415,72,70,13,31,192,133,102,16,2,2,35,,41,0.08951965,0.076419213,,,,,,,,,5.0,,,,,,,,0.0
Hank Sauer,1011459,121710,OF,CHC,2.4371013434308866,,2.47,18.249476482361455,-12.283950805664062,0.0434011400211602,,,,,123.40336111708775,0.3875562195754169,,,,,0.868435599,0.518518518,0.349917081,0.274074074,0.244444444,0.263038548,145,603,540,85,103,32,66,280,148,82,32,2,1,60,,67,0.111111111,0.099502487,,,,,,,,,-5.0,,,,,,,,0.0
Eddie Robinson,1011063,121324,1B,- - -,2.3343142119393625,,2.46,16.672469815644316,-15.567901134490969,-0.2321983140427619,,,,,118.9635843885242,0.3906586693238842,,,,,0.845620084,0.450271247,0.395348837,0.294755877,0.15551537,0.284,155,647,553,83,86,21,40,249,163,123,15,4,0,85,,32,0.049459041,0.131375579,,,,,,,,,-6.0,,,,,,,,0.0
Hank Majeski,1008006,118181,3B,CHW,2.3218859329025348,,2.01,0.6717560769194364,6.382716059684753,-1.7166913880500942,,,,,103.71207611546478,0.364397581106697,,,,,0.782703419,0.405797101,0.376906318,0.309178743,0.096618358,0.326203208,122,467,414,47,46,6,26,168,128,102,18,2,1,42,,34,0.072805139,0.08993576,,,,,,,,,5.0,,,,,,,,0.0
Granny Hamner,1005286,115395,SS,PHI,2.2694387484427834,,3.15,-15.578231855286932,16.691357612609863,0.2164013390429318,,,,,82.126970036333,0.3189366742924603,,,,,0.6940651,0.379905808,0.314159292,0.270015698,0.10989011,0.272419627,157,685,637,78,82,11,43,242,172,129,27,5,2,39,,35,0.05109489,0.056934306,,,,,,,,,7.0,,,,,,,,0.0
Phil Masi,1008212,118392,C,CHW,2.223860077845937,,1.85,-1.6946548979440657,9.037036895751951,-0.1809621027205139,,,,,97.4685691152248,0.3538687871052668,,,,,0.755887789,0.389920424,0.365967365,0.278514588,0.111405836,0.293413173,122,434,377,38,55,7,26,147,105,79,17,2,2,49,,36,0.082949308,0.112903225,,,,,,,,,2.0,,,,,,,,0.0
