Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,bWAR,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Lance McCullers Sr.,- - -,2,0,0,20,1,44.2,6.246268778966357,3.8283582838826056,0.805970165027917,0.2121212121212121,0.70484581,,,,3.0223881188546886,,3.86053784351674,,0.1833073068410158,Lance McCullers Sr.,1008436,118617,1.63157895,0.16666667,0.10215054,0.06451613,0.1916167664670658,1.1417910671228824,76.91428417638737,96.35769684466976,,-0.8381497246620513,,0,0,0,,,186,32,19,15,4,19,3,0,5,0,31,-0.3026200085878372,-2.3255800902843475,2.0229600369930267,-3.930700421333313,-0.4327873215079307,0.6827350909612617,0.7481766284680834,1.0478800058364868,0.988333304723104,6,-0.0242036879062652,-0.4190429132926876,5,4,1990,0.51,,,,,,,,,,
Joe Klink,OAK,0,0,1,40,0,39.2,4.310924231555707,4.0840334825264595,0.2268907490292477,0.2598425196850393,0.84980237,,,,2.0420167412632297,,3.539391430491202,,0.1767315417528152,Joe Klink,1007012,117164,1.05555556,0.11515152,0.10909091,0.00606061,0.2312925170068027,1.3109243277245424,54.736360241353005,92.9092070646213,,-1.4973746892279722,,0,0,0,,,165,34,9,9,1,18,0,0,3,1,19,0.5140017867088318,-0.7370580434799194,1.251059889793396,13.378999710083008,1.5432311296463013,0.4232162237167358,0.5709555745124817,0.6682500243186951,0.6094909310340881,22,1.510944366455078,-0.2964309383194405,4,2,1990,0.84,,,,,,,,,,
Rich Monteleone,NYY,0,1,0,5,0,7.1,9.818182243788556,2.454545560947139,0.0,0.3809523809523809,0.5,,,,6.136363902367847,,1.4446625942041045,,0.1708279699087143,Rich Monteleone,1009068,119263,4.0,0.25806452,0.06451613,0.19354839,0.2758620689655172,1.3636364227484106,155.4528133053044,36.26273184937312,,4.6917013081637435,,0,0,0,,,31,8,5,5,0,2,0,0,0,0,8,-0.3746660053730011,-0.5102260112762451,0.135560005903244,-0.0939999818801879,-0.0181303471326828,0.5299333333969116,0.3841555416584015,0.4449999928474426,0.4695999920368194,3,0.0584559962153434,-0.7654619189629549,0,1,1990,-0.06,,,,,,,,,,
Charlie Hough,TEX,12,12,0,32,32,218.2,4.692072734174706,4.897865397954299,0.9878047861420436,0.2434017595307918,0.74022346,,,,4.07469474283593,,4.975981742097554,,0.1689263135194778,Charlie Hough,1006050,116176,0.95798319,0.12,0.12526316,-0.00526316,0.2317073170731707,1.4131096246198678,104.1052914329946,127.10237301715163,,-0.9012869992616244,,15,5,0,,,950,190,108,99,24,119,2,11,4,0,114,-0.8112339973449707,-16.137916564941406,15.326682090759276,-0.9543998837471008,-0.0788752287626266,0.9571027159690856,0.8485221862792969,0.8728749752044678,1.2223036289215088,27,-0.4057325422763824,-0.4418609122292607,0,0,1990,1.87,,,,,,,,,,
Tim Drummond,MIN,3,5,1,35,4,91.0,4.846153541429527,3.5604393365604694,0.791208741457882,0.3147540983606557,0.73189522,,,,4.351648078018351,,4.094013221821573,,0.1629131659865379,Tim Drummond,1003514,113579,1.36111111,0.12280702,0.09022556,0.03258145,0.287292817679558,1.5384614417236595,106.3884657756598,104.7271783794982,,0.2576348561967778,,0,0,0,,,399,104,46,44,8,36,1,1,2,0,49,-0.3452040106058121,-4.195010185241699,3.849806070327759,-1.1061005592346191,-0.119116723537445,0.5973350370971902,0.521837711930275,0.5780514529773167,0.8432095079194932,21,-0.3847311213612556,-0.1931757301828388,7,2,1990,0.72,,,,,,,,,,
Chuck McElroy,PHI,0,1,0,16,0,14.0,10.28571568703184,6.4285723043948995,0.0,0.48,0.61764706,,,,7.714286765273879,,2.6654418546326286,,0.1606306731700897,Chuck McElroy,1008477,118660,1.6,0.21052632,0.13157895,0.07894737,0.3636363636363636,2.428571759438073,201.46433884792413,69.40267492512679,,5.04884491064125,,0,0,0,,,76,24,13,12,0,10,2,0,0,0,16,-0.5330179929733276,-1.011162042617798,0.4781440198421478,-7.519999980926514,-0.8179803490638733,0.5055360198020935,0.3875400125980377,0.4287749826908111,1.016800045967102,8,-0.6625199913978577,-0.3918420562006353,1,2,1990,-0.46,,,,,,,,,,
Ron Darling,NYM,7,9,0,33,18,126.0,7.071428785518731,3.142857238008325,1.4285714718219658,0.2979274611398964,0.71153846,,,,4.500000136239192,,4.467029225901353,,0.1584772169589996,Ron Darling,1002989,113054,2.25,0.17870036,0.07942238,0.09927798,0.2673267326732673,1.4206349636451772,122.83892375893484,119.9616857984131,,0.0329709103378395,,6,1,0,,,554,135,73,63,20,44,4,5,5,1,99,-1.4549159556627274,-10.22110390663147,8.766188144683838,-15.113199472427368,-1.5921034514904022,0.9470104060979744,0.8729821026773381,1.0336424220692029,0.8466206768463398,29,-1.4222200512886047,-0.114105153053666,4,3,1990,-0.49,,,,,,,,,,
Eric Hetzel,BOS,1,4,0,9,8,35.0,5.142857142857143,5.4,0.7714285714285715,0.3050847457627119,0.58098592,,,,5.914285714285715,,4.6654418740953725,,0.1580116273835301,Eric Hetzel,1005754,115873,0.95238095,0.12269939,0.12883436,-0.00613497,0.2765957446808511,1.7142857142857142,143.88847492013275,117.74840702089408,,1.248843840190342,,3,0,0,,,163,39,28,23,3,21,0,1,2,0,20,-0.9892700570635498,-3.6003079367801547,2.6110379989258945,-11.054300606250765,-1.2071057185530665,0.9835713179116804,0.869831030796233,0.7755555597444376,1.0686249732971191,8,-0.5471376851201057,-0.4586562405953869,0,0,1990,-0.55,,,,,,,,,,
Joe Hesketh,- - -,1,6,5,45,2,59.2,7.541899883338985,3.770949941669493,1.055865983667458,0.3333333333333333,0.70422535,,,,4.525139930003391,,3.9647236657311593,,0.1565708704292774,Joe Hesketh,1005747,115866,2.0,0.18587361,0.0929368,0.0929368,0.2839506172839506,1.575419086741921,112.35044256868524,101.2603955940318,,0.5604162642722317,,0,0,0,,,269,69,35,30,7,25,2,1,8,0,50,-0.8603320494294167,-5.237517826259136,4.377181842923164,-10.14309984445572,-0.9933526702225208,0.9059165482386262,0.936649349602786,1.1722488482793172,1.264476941182063,26,-2.013575330376625,1.0638939815789237,6,8,1990,-0.22999999999999998,,,,,,,,,,
Scott Aldred,DET,1,2,0,4,3,14.1,4.395348075630347,6.279068679471924,0.0,0.2888888888888888,0.75,,,,3.7674412076831545,,4.13388018261881,,0.1511891954578459,Scott Aldred,1000115,110118,0.7,0.11111111,0.15873016,-0.04761905,0.25,1.604650884753936,96.1637009278861,102.80794964022832,,-0.3664389749356558,,1,0,0,,,63,13,6,6,0,10,1,1,0,0,7,0.2860339703038335,-1.1127419993281364,1.398776029702276,2.75260029733181,0.2736574951559305,1.2503666399103222,0.938133269548416,0.7355000004172325,1.0346999913454056,4,0.0609289091080427,0.1678311690753837,0,0,1990,0.25,,,,,,,,,,
Daryl Smith,KCR,0,1,0,2,1,6.2,8.100000844895927,5.400000563263952,0.0,0.2941176470588235,0.66666667,,,,4.0500004224479635,,2.8082990169525153,,0.1502975672483444,Daryl Smith,1012119,122369,1.5,0.22222222,0.14814815,0.07407407,0.217391304347826,1.350000140815988,103.74702459434258,74.83282721103396,,1.2417014054954485,,1,0,0,,,27,5,3,3,0,4,0,0,0,0,6,-0.0337519998429343,-0.3622040065238252,0.3284520141023677,0.3100000992417335,0.0307430494576692,0.7405930665032617,0.6792002762002605,0.4576000031083822,0.7639999985694885,1,0.0082938806153833,-0.053868166102953,0,0,1990,0.14,,,,,,,,,,
John Habyan,NYY,0,0,0,6,0,8.2,4.153846458570514,2.076923229285257,0.0,0.3333333333333333,0.84615385,,,,2.076923229285257,,2.9236836408016957,,0.127801164984703,John Habyan,1005176,115281,2.0,0.10810811,0.05405405,0.05405405,0.2941176470588235,1.3846154861901714,52.61479992849628,73.41469096556393,,-0.8467604115164389,,0,0,0,,,37,10,2,2,0,2,0,1,1,0,4,-0.2201020121574401,-0.4009320139884949,0.1808300018310547,2.11899995803833,0.2043759673833847,0.4117686748504638,0.5843999981880188,0.9915666580200196,1.1985599994659424,5,0.0526561066508293,-0.5871844124705264,0,1,1990,0.33,,,,,,,,,,
Dave Johnson,BAL,13,9,0,30,29,180.0,3.4,2.15,1.5,0.2703583061889251,0.795,,,,4.1,,4.986076794730293,,0.1196983084082603,Dave Johnson,1006442,116578,1.58139535,0.08970976,0.05672823,0.03298153,0.2752808988764045,1.3277777777777775,106.29177247863068,126.9138290508177,,-0.8860767947302932,,14,3,0,,,758,196,83,82,30,43,2,3,1,2,68,-0.719877939671278,-12.88887844607234,12.168999671936035,3.440099716186523,0.2584499567747116,0.9065876477397978,0.8612184685128959,0.8670399943987529,1.2321333785851796,27,-1.9023722931742668,1.1083200672631852,0,0,1990,1.88,,,,,,,,,,
Darren Holmes,LAD,0,1,0,14,0,17.1,9.865382082364208,5.711536995052962,0.5192306359139057,0.3043478260869565,0.6504065,,,,5.192306359139057,,3.269837359987098,,0.1171773597598075,Darren Holmes,95,116100,1.72727273,0.24675325,0.14285714,0.1038961,0.2272727272727272,1.4999996148623942,140.00868898572168,88.22731839772969,,1.9224689991519588,,0,0,0,,,77,15,10,10,1,11,3,0,1,0,19,-0.3630600273609161,-0.9222760200500488,0.5592160224914551,-2.6760001182556152,-0.265941321849823,0.5432971119880676,0.6035043597221375,0.7947142720222473,0.2762153744697571,13,-0.075775422155857,-0.5924777662926948,1,2,1990,-0.18,,,,,,,,,,
Mike York,PIT,1,1,0,4,1,12.2,2.842104549883654,3.5526306873545677,0.0,0.2826086956521739,0.73684211,,,,2.842104549883654,,3.5977725030313077,,0.1110446602106094,Mike York,1014353,124677,0.8,0.07142857,0.08928571,-0.01785714,0.26,1.421052274941827,77.04153834763036,96.05335472573998,,-0.7556679531476536,,1,0,0,,,56,13,5,4,0,5,0,1,0,1,4,-0.0055639743804931,-0.7357000261545181,0.7301360070705414,0.8660001754760742,0.1097375899553299,0.8877994794594614,0.6692768427041861,0.4698500037193298,0.4090500138700008,4,0.0055419355630874,-0.0118090876725714,0,2,1990,0.16,,,,,,,,,,
Gerald Alexander,TEX,0,0,0,3,2,7.0,10.285714285714286,6.428571428571429,0.0,0.56,0.7,,,,7.714285714285714,,3.0940133026668,,0.1087747327983379,Gerald Alexander,1000124,110126,1.6,0.20512821,0.12820513,0.07692308,0.4242424242424242,2.7142857142857144,197.0940188575099,79.02085773394701,,4.620272411618915,,0,0,0,,,39,14,6,6,0,5,0,1,0,0,8,-0.5035759946331382,-0.9910739515908062,0.4874980170279741,-4.275200068950653,-0.4516860321164131,0.9649554623290896,0.6676249643787742,0.5987333369751772,1.7518999576568604,2,-0.3396133296191692,-0.182251164953118,0,0,1990,-0.15,,,,,,,,,,
Carlos Maldonado,KCR,0,0,0,4,0,6.0,13.500008583074305,6.000003814699691,0.0,0.5,0.53846154,,,,9.000005722049536,,1.808298381169233,,0.1074257493019104,Carlos Maldonado,1008016,118191,2.25,0.29032258,0.12903226,0.16129032,0.3333333333333333,2.1666680441971105,230.54906607400335,48.17589236898016,,7.191707340880304,,0,0,0,,,31,9,6,6,0,4,0,0,1,0,9,-0.0955559983849525,-0.1854719966650009,0.0899159982800483,-1.9320000410079956,-0.1926674991846084,0.2337636351585388,0.2220571488142013,0.3722999989986419,0.7721332907676697,3,-0.1601915061473846,-0.2485803642940821,0,1,1990,-0.15,,,,,,,,,,
Daryl Irvine,BOS,1,1,0,11,0,17.1,4.673077265891828,5.192308073213143,0.0,0.2678571428571428,0.6,,,,4.673077265891828,,3.5006067600476003,,0.1071402207016944,Daryl Irvine,1006273,116405,0.9,0.12,0.13333333,-0.01333333,0.2307692307692307,1.4423077981147618,113.69115282154183,88.34323708317665,,1.1724705058442275,,0,0,0,,,75,15,10,9,0,10,3,0,1,1,9,-0.0185299627482891,-0.4945359826087951,0.4760060012340545,-0.1339999586343765,-0.0244130790233612,0.5119066834449768,0.5214951634407043,0.6215090751647949,2.0424001216888428,5,0.4324378073215484,-0.4686357382092408,1,1,1990,0.03,,,,,,,,,,
Joe Bitker,- - -,0,0,0,6,0,12.0,6.0,3.0,0.0,0.2285714285714285,0.76923077,,,,2.25,,2.724965683619182,,0.1015559807419776,Joe Bitker,1000999,111027,2.0,0.16666667,0.08333333,0.08333333,0.1860465116279069,1.0,57.485755500107054,70.03089722948353,,-0.4749656836191818,,0,0,0,,,48,8,3,3,0,4,0,1,0,0,8,0.0053320140577852,-0.0503439605236053,0.0556759750470519,2.0040000677108765,0.2214306071400642,0.0612292541190981,0.0578000019304454,0.0857666668792565,0.0923999994993209,1,0.1190084926784038,-0.0319257062800284,0,0,1990,0.21000000000000002,,,,,,,,,,
Randy Hennis,HOU,0,0,0,3,1,9.2,3.724136706340163,2.793102529755122,0.0,0.0384615384615384,1.0,,,,0.0,,3.222091984323644,,0.1013835556805133,Randy Hennis,1005659,115775,1.33333333,0.11764706,0.08823529,0.02941176,0.0333333333333333,0.4137929673711292,0.0,89.49315006388332,,-3.222091984323644,,1,0,0,,,34,1,0,0,0,3,0,1,0,0,4,0.3820420131087303,-0.1079519996419549,0.489994004368782,5.253999948501587,0.5808190107345581,0.6454881530474214,0.7286600291728973,0.4742000102996826,0.7686999998986721,2,0.5409779995679855,0.0508872597788629,0,0,1990,0.58,,,,,,,,,,
Marvin Freeman,- - -,1,2,1,25,3,48.0,7.12500198185499,3.1875008866193375,0.9375002607703934,0.2535211267605634,0.69642857,,,,4.31250119954381,,3.954132669005218,,0.0992526710033416,Marvin Freeman,1004326,114410,2.23529412,0.18357488,0.0821256,0.10144928,0.2216216216216216,1.208333669437396,112.04022388711408,102.64759365786632,,0.3583685305385922,,1,0,0,,,207,41,24,23,5,17,2,5,4,0,38,-0.3831639885902405,-2.7792220562696457,2.3960580229759216,1.2813999652862549,0.0694695264101028,0.7350585368963388,0.7485212364367076,0.8855120050907135,0.7013300001621247,20,0.1678108526393771,-0.6890808867350099,4,4,1990,-0.09000000000000002,,,,,,,,,,
Mike Jackson,SEA,5,7,3,63,0,77.1,8.030174526392056,5.120691002336963,0.9310347276976296,0.2604651162790697,0.68825911,,,,4.5387942975259445,,4.153126956960202,,0.0979555994272232,Mike Jackson,732,116436,1.56818182,0.20414201,0.13017751,0.0739645,0.2191780821917808,1.3965520915464444,113.2097179272427,104.06206867568484,,0.3856673405657425,,0,0,0,,,338,64,42,39,8,44,12,2,9,2,69,-1.907920002937317,-9.96918773651123,8.061267852783203,-7.366000175476074,-0.7704721093177795,1.6101876497268677,1.642507791519165,1.7719999551773071,1.7010555267333984,36,-0.0329858995974063,-1.15191947665545,19,17,1990,-0.77,,,,,,,,,,
Shawn Hillegas,CHW,0,0,0,7,0,11.1,3.970588346666122,3.970588346666122,0.0,0.1212121212121212,0.88888889,,,,0.7941176693332243,,3.249475499915417,,0.0951921641826629,Shawn Hillegas,1005818,115947,1.0,0.11627907,0.11627907,0.0,0.1052631578947368,0.7941176693332243,20.22138640474841,84.77201182464181,,-2.4553578305821926,,0,0,0,,,43,4,1,1,0,5,1,0,2,0,5,0.328493982553482,-0.2455739974975586,0.574068009853363,3.069999933242798,0.2996163070201874,0.7585088014602661,0.7480307817459106,0.8194857239723206,1.2523499727249146,4,0.4220103025436401,0.0110683669735387,3,1,1990,0.46,,,,,,,,,,
Anthony Telford,BAL,3,3,0,8,8,36.1,4.954129133890013,4.706422677195513,0.9908258267780028,0.314516129032258,0.71428571,,,,4.954129133890013,,4.78995067050852,,0.0948500782251358,Anthony Telford,1282,123177,1.05263158,0.11904762,0.11309524,0.00595238,0.2905405405405405,1.7064222572287824,129.14844604062864,122.21564176365273,,0.1641784633814929,,3,0,0,,,168,43,22,20,4,19,0,1,1,0,20,-0.5430960059165955,-3.8153200149536137,3.272223949432373,-6.320800304412842,-0.6923482418060303,1.1885826587677002,0.976589858531952,0.8700000047683716,1.5578749179840088,8,-0.4691304862499237,0.0122030677734779,0,0,1990,-0.17,,,,,,,,,,
Tom Filer,MIL,2,3,0,7,4,22.0,3.2727268471206084,3.681817703010685,0.8181817117801521,0.3,0.55900621,,,,6.136362838351141,,4.490116980056161,,0.0838278159499168,Tom Filer,1004040,114119,0.88888889,0.08080808,0.09090909,-0.01010101,0.2888888888888888,1.5909088840169625,159.44550151517305,115.53028225817762,,1.6462458582949795,,2,0,0,,,99,26,17,15,2,9,0,0,2,0,8,0.0362700149416923,-1.4372659772634506,1.4735360145568848,-0.6919001340866089,-0.1811598800122738,0.8062447551453468,0.78144999841849,0.721371420792171,1.1681333780288696,6,-0.2606180906295776,0.3056044483208642,0,1,1990,-0.33,,,,,,,,,,
Jim Campbell,KCR,1,0,0,2,2,9.2,1.8620683531700817,0.9310341765850408,0.9310341765850408,0.35,0.47945205,,,,8.379307589265366,,4.0496779190659025,,0.0834169909358024,Jim Campbell,1001883,111927,2.0,0.04545455,0.02272727,0.02272727,0.3488372093023256,1.6551718694845168,214.64892342446288,107.92416268005292,,4.329629670199464,,0,0,0,,,44,15,9,9,1,1,0,0,0,0,2,-0.2381258904933929,-1.1653079986572266,0.9271819591522216,-3.332200050354004,-0.3422908186912536,1.132890224456787,0.914639949798584,0.8700000047683716,1.2797000408172607,2,-0.2938644886016845,0.0836712277254398,0,0,1990,-0.28,,,,,,,,,,
Al Leiter,TOR,0,0,0,4,0,6.1,7.1052635145319645,2.8421054058127857,0.0,0.0666666666666666,1.0,,,,0.0,,2.1767200378830074,,0.0821774676442146,Al Leiter,883,117652,2.5,0.22727273,0.09090909,0.13636364,0.05,0.4736842343021309,0.0,54.028821995375424,,-2.1767200378830074,,0,0,0,,,22,1,0,0,0,2,0,0,0,0,5,0.0694940015673637,-0.0118599999696016,0.0813539996743202,3.496999979019165,0.3586682081222534,0.1600091755390167,0.1782855689525604,0.1102000027894973,0.069700002670288,2,0.3658199906349182,0.0684926125846283,0,0,1990,0.25,,,,,,,,,,
Dave Pavlas,CHC,2,0,0,13,0,21.1,5.062497586013038,2.531248793006519,0.8437495976688396,0.2876712328767123,0.83969466,,,,2.109373994172099,,3.745798569917892,,0.0787098482251167,Dave Pavlas,1010085,120313,2.0,0.12903226,0.06451613,0.06451613,0.264367816091954,1.3593743517997972,52.67273666928955,96.2769253443914,,-1.6364245757457931,,0,0,0,,,93,23,7,5,2,6,2,0,3,0,12,0.4578839838504791,-0.6143200993537903,1.0722039937973022,3.808000087738037,0.3728030025959015,0.6343832612037659,0.6862460970878601,0.789815366268158,1.0895999670028689,10,0.0975288227200508,0.6242493386104155,3,0,1990,0.61,,,,,,,,,,
Eric Gunderson,SFG,1,2,0,7,4,19.2,6.4067780040733195,5.033897003200465,0.9152540005819028,0.3283582089552239,0.65217391,,,,5.491524003491417,,4.3845697957324585,,0.076249236240983,Eric Gunderson,1005144,115249,1.27272727,0.14893617,0.11702128,0.03191489,0.2891566265060241,1.7796605566870332,149.64062002817525,117.00879286632728,,1.1069542077589585,,1,0,0,,,94,24,14,12,2,11,1,0,0,0,14,-0.5464499890804291,-2.011295974254608,1.4648459777235985,-4.3035998940467834,-0.4676708951592445,0.9706116691984312,0.9591180898926476,1.027485728263855,1.219866673151652,6,-0.3061657249927521,-0.2568297616901029,0,1,1990,-0.29,,,,,,,,,,
Jeff Russell,TEX,1,5,10,27,0,25.1,5.684215947206547,5.684215947206547,0.3552634967004092,0.282051282051282,0.63829787,,,,4.2631619604049105,,3.953036950764945,,0.0747779905796051,Jeff Russell,1011314,121569,1.0,0.14414414,0.14414414,0.0,0.2421052631578947,1.5394751523684398,108.92048271697502,100.96764376887022,,0.3101250096399659,,0,0,0,,,111,23,15,12,1,16,5,0,2,0,16,-0.1744460016489029,-3.672558069229126,3.4981119632720947,-3.492000102996826,-0.3731137216091156,2.0839157104492188,1.640957593917847,1.676777720451355,2.030600070953369,5,-0.1053898409008979,0.0216791606779927,9,5,1990,-0.35,,,,,,,,,,
Dave Burba,SEA,0,0,0,6,0,8.0,4.500002413989408,2.250001206994704,0.0,0.2857142857142857,0.45454545,,,,4.500002413989408,,2.933299084007776,,0.0687419176101684,Dave Burba,1239,111692,2.0,0.11428571,0.05714286,0.05714286,0.25,1.2500006705526134,112.24214418294864,73.49000555232101,,1.5667033299816322,,0,0,0,,,35,8,6,4,0,2,0,1,0,0,4,-0.0349819958209991,-0.1257060021162033,0.0907239988446235,0.2829998731613159,0.0479391105473041,0.2691730558872223,0.2080000936985016,0.2118000090122223,0.5378999710083008,4,0.256486713886261,-0.3864477001584376,0,1,1990,-0.1,,,,,,,,,,
Stan Clarke,STL,0,0,0,2,0,3.1,8.10000772476933,0.0,0.0,0.2222222222222222,0.5,,,,2.70000257492311,,1.0082973003371083,,0.067830353975296,Stan Clarke,1002310,112360,3.0,0.25,0.0,0.25,0.1666666666666666,0.6000005722051356,70.45384480111781,26.5915578877294,,1.6917052745860015,,0,0,0,,,12,2,1,1,0,0,0,0,0,0,3,-0.0222220011055469,-0.0409380011260509,0.0187160000205039,0.984000027179718,0.1052964627742767,0.10955361276865,0.0744000002741813,0.1215000003576278,,0,0.0498580001294612,-0.2526993354715853,0,0,1990,0.05,,,,,,,,,,
Mike Schwabe,DET,0,0,0,1,0,3.2,2.4545431669114683,0.0,0.0,0.3571428571428571,0.8,,,,2.4545431669114683,,2.2628449798610775,,0.0596168376505374,Mike Schwabe,1011659,121905,1.0,0.06666667,0.0,0.06666667,0.3333333333333333,1.3636350927285934,62.652060644263095,56.26432236154096,,0.1916981870503908,,0,0,0,,,15,5,1,1,0,0,0,0,0,0,1,0.0101100001484155,-0.050110001116991,0.0602199994027614,1.093000054359436,0.1154780015349388,0.2151730060577392,0.2110999971628189,0.3948000073432922,0.3810000121593475,1,0.0577521994709968,-0.010766751186175,0,0,1990,0.08,,,,,,,,,,
Kip Gross,CIN,0,0,0,5,0,6.1,4.263158108719178,2.8421054058127857,0.0,0.3,0.625,,,,4.263158108719178,,2.8082990169525153,,0.0586691237986087,Kip Gross,1005089,115190,1.5,0.12,0.08,0.04,0.2608695652173913,1.263157958139016,108.6409477499474,70.35440254810544,,1.454859091766663,,0,0,0,,,25,6,3,3,0,2,0,0,0,0,3,-0.0002839896187651,-0.0619160011410713,0.0616320110857486,-0.0999999493360519,-0.0091765793040394,0.1514516621828079,0.1428000032901764,0.1866399943828582,0.329800009727478,3,0.0774296373128891,-0.079304754526343,0,0,1990,0.04,,,,,,,,,,
John Dopson,BOS,0,0,0,4,4,17.2,4.584907310380507,4.584907310380507,1.0188682911956684,0.2,0.78125,,,,2.0377365823913367,,4.789431805388537,,0.056991834193468,John Dopson,1003404,113469,1.0,0.12,0.12,0.0,0.1969696969696969,1.245283467016928,49.57603052910073,120.87841654436376,,-2.7516952229972,,0,0,0,,,75,13,7,4,2,9,0,0,0,0,9,0.1207480132579803,-1.1171300411224363,1.2378779649734497,0.8918001055717468,0.1062181890010833,0.965938150882721,0.9517134428024292,0.8700000047683716,1.4683500528335571,4,-0.0121220052242279,0.1371279521863962,0,0,1990,0.44,,,,,,,,,,
Dorn Taylor,BAL,0,1,0,4,0,3.2,9.818183520608992,4.909091760304496,0.0,0.3333333333333333,0.5,,,,2.454545880152248,,2.262844376918682,,0.0508614592254161,Dorn Taylor,1012866,123131,2.0,0.22222222,0.11111111,0.11111111,0.25,1.6363639201014988,63.98718676680497,57.72247206339443,,0.191701503233566,,0,0,0,,,18,4,3,1,0,2,0,0,1,0,4,-0.2740399837493896,-0.3555099964141845,0.0814699977636337,-1.090000033378601,-0.0968551039695739,0.7239668369293213,0.4964400231838226,0.2905499935150146,0.5478000044822693,2,-0.0808793008327484,-0.2976463025107972,0,1,1990,-0.07,,,,,,,,,,
Julio Machado,- - -,4,1,3,37,0,47.1,7.415494053403218,4.753521829104627,0.7605634926567403,0.2700729927007299,0.86538462,,,,2.471831351134406,,3.9702710196225346,,0.0431678891181945,Julio Machado,1007907,118078,1.56,0.1884058,0.12077295,0.06763285,0.2277777777777777,1.3943664032040235,67.22509824800424,105.75111633154138,,-1.4984396684881287,,0,0,0,,,207,41,14,13,4,25,6,2,3,0,39,-0.2183559834957122,-3.050713986158371,2.8323580622673035,1.4859999418258667,0.1348246932029724,0.8719660092044521,0.8882999813982418,1.0610594797778774,1.2750000096857548,16,0.1048892997205257,-0.3553072990355814,7,7,1990,1.2,,,,,,,,,,
Danny Boone,BAL,0,0,0,4,1,9.2,1.8620683531700817,2.793102529755122,0.9310341765850408,0.3055555555555556,0.89041096,,,,2.793102529755122,,4.980712095650944,,0.0430595278739929,Danny Boone,1001185,111215,0.66666667,0.04651163,0.06976744,-0.02325581,0.3076923076923077,1.5517236276417343,72.81296906097792,127.08398030373718,,-2.1876095658958215,,0,0,0,,,43,12,3,3,1,3,0,1,1,0,2,0.1052280068397522,-0.7988899946212769,0.9041180312633514,1.5369998216629028,0.1639420017600059,1.1583307411359705,1.2533455761996182,1.5991500318050385,1.5098999440670011,4,-0.168135792016983,0.2589803177666454,2,0,1990,0.29,,,,,,,,,,
Walt Terrell,- - -,8,11,0,29,28,158.0,3.6455699723226784,3.2468357565998858,1.139240616350837,0.2944344703770197,0.68888889,,,,5.240506835213851,,4.9538688444132575,,0.0420547015964984,Walt Terrell,1012924,123194,1.12280702,0.09014085,0.08028169,0.00985916,0.2870514820592824,1.5253166030030652,138.63061433369458,128.33330570575248,,0.2866379908005934,,12,0,0,,,710,184,98,92,20,57,4,12,7,2,64,-1.4644981399178505,-13.99685436487198,12.532357841730118,-19.140100479125977,-2.111070960760117,1.037877729995464,0.9286178560817944,0.8638207172525341,1.2978896848086654,29,-2.2580073699355125,0.8469566289929826,0,1,1990,-0.7699999999999999,,,,,,,,,,
Don August,MIL,0,3,0,5,0,11.0,1.636364629446585,4.090911573616463,0.0,0.2954545454545454,0.44444444,,,,6.54545851778634,,3.8082996238365383,,0.0418574996292591,Don August,1000364,110377,0.4,0.03921569,0.09803922,-0.05882353,0.2826086956521739,1.636364629446585,170.07532694980512,97.98311561702192,,2.7371588939498013,,0,0,0,,,51,13,10,8,0,5,0,0,2,0,2,-0.5250599980354309,-1.2270179986953735,0.7019580006599426,-1.5660001039505005,-0.1600672006607055,0.9104424118995668,0.8601468205451965,1.238640069961548,1.9947500228881836,4,-0.2310390025377273,-0.3456696296314775,1,3,1990,-0.45,,,,,,,,,,
Tom Gilles,TOR,1,0,0,2,0,1.1,6.750001609325793,0.0,0.0,0.4,0.5,,,,6.750001609325793,,1.308298659324561,,0.0387014560401439,Tom Gilles,1004718,114804,1.0,0.16666667,0.0,0.16666667,0.3333333333333333,1.500000357627954,170.9545729911289,32.4632331199402,,5.441702950001232,,0,0,0,,,6,2,1,1,0,0,0,0,0,0,1,0.0373940058052539,-0.0030899799894541,0.0404839888215065,-0.0609999895095825,-0.0067484006285667,0.2631666660308838,0.7197999954223633,0.7197999954223633,1.7208000421524048,1,-0.0298280008137226,0.17192048680078,0,0,1990,-0.03,,,,,,,,,,
