fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,2.54,4.514610165949726,,4.432368758444968,5.101638651021596,,0.11389522,0.06150342,0.0523918,205.1,35,32,,,,0.379261363,0.964285666513534,0.2776162790697674,0.65947242,0.071661237,0,0.2629629629629629,1.3003246109046138,99.8639443775463,104.77442663291636,4.944827830851416,,,0.8873379826545715,-0.0813110833129932,100,54,14,22,20,0,0
,2.95,2.0958906300051576,,2.3761954823495857,3.021389495243656,,0.21453287,0.04844291,0.16608997,73.0,68,0,,,,0.525,0.2465753682359009,0.2836538461538461,0.78457447,0.037735849,40,0.2242647058823529,1.0273973676495871,51.14619434432876,56.47678419171771,2.75351440799502,,,2.5035619735717773,-0.3216838919586682,62,14,3,2,0,0,0
,2.99,3.982408742580155,,4.327203046923562,4.519592511289957,,0.13802817,0.07887324,0.05915493,246.1,35,35,,,,0.395964691,0.9133965005917788,0.3052763819095477,0.75454545,0.092592592,0,0.2768595041322314,1.4289580809258051,97.99872078766292,105.3026810947064,4.694778321639459,,,0.883974015712738,0.7541666845136168,147,84,13,25,22,2,0
,2.75,2.667984350633243,,2.8540232509261476,2.770161206221225,,0.2347561,0.07012195,0.16463415,84.1,12,12,,,,0.671171171,0.5335968701266486,0.253393665158371,0.75949367,0.119047619,0,0.2013201320132013,0.9960474909030772,63.54343227741936,66.9836729787336,2.676409985988224,,,1.4993020296096802,-0.5457132324152678,77,23,2,5,9,0,0
,1.0,4.520641885415041,,3.859480648604263,4.163565175756209,,0.16946565,0.08091603,0.08854962,145.1,46,19,,,,0.375796178,0.8669724163809669,0.3382352941176471,0.71633238,0.085365853,0,0.2911813643926789,1.5688072296417497,103.88065950012027,89.00175949070577,4.257450552232291,,,0.0102300271391868,0.5292350774357998,111,53,1,14,9,1,1
,1.81,4.484265255773024,,4.194856215542342,4.574546478748772,,0.13851762,0.06925881,0.06925881,190.2,33,30,,,,0.398104265,0.9440558433206364,0.296,0.70539419,0.082987551,1,0.2700922266139657,1.3741257275000376,105.93365052407938,101.28096511025468,4.6036895635380795,,,-1.0130758583545685,-0.7075991792778702,114,57,7,20,15,3,0
,2.1,2.7490916717783622,,2.8673038509778626,3.1512581862039104,,0.26133333,0.09866667,0.16266667,91.2,78,0,,,,0.543103448,0.490909227103279,0.2618025751072961,0.73469388,0.075757575,7,0.1964285714285714,1.1236366753697276,64.49670564659532,67.68433046818056,2.9177197118898186,,,2.4848079681396484,-0.881703778500474,98,37,2,5,0,0,0
,3.09,3.986301647607927,,4.663866897049001,4.505210488219759,,0.18545838,0.09589041,0.08956797,219.0,35,35,,,,0.376923076,1.2739726915035643,0.2832550860719874,0.77319588,0.116104868,0,0.2505910165484633,1.3835617402350535,93.45434748612936,108.04613346929214,4.376694910286067,,,0.8543739318847656,1.1717647292351527,176,91,12,31,16,0,0
,3.38,1.8070868312909985,,2.996409115994425,3.610926593461952,,0.17008798,0.06744868,0.1026393,84.2,14,14,,,,0.472,0.3188976761101761,0.2980392156862745,0.84168337,0.045454545,0,0.25,1.2047245541939988,43.18801009289523,71.46357483613663,3.917289800775576,,,2.412260055541992,0.7134181570855556,58,23,2,3,9,0,0
,2.82,4.036545055125547,,4.440297018806019,4.096337894265542,,0.14079422,0.0276775,0.11311673,200.2,31,31,,,,0.421828908,1.4800665202127004,0.2780337941628264,0.73811931,0.126436781,0,0.2671660424469413,1.1810631827959932,93.15505256808842,105.5122960100576,4.117177757178189,,,-1.6118861436843872,-1.840266616838651,117,23,7,33,18,3,1
,1.94,2.454546184157191,,2.4615894416387807,3.2523877544255457,,0.26332288,0.09404389,0.169279,77.0,75,0,,,,0.472081218,0.2337663032530658,0.305,0.75107296,0.031746031,0,0.2202797202797203,1.207792566807507,56.64581360875017,58.83135710300236,2.9525772689163556,,,2.114315986633301,-0.1687036890246906,84,30,3,2,0,0,0
