Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Ted Bowsfield,1001273,111311,LAA,2.0617668628692627,,2.41,3.726114649681529,,4.166243749970843,,,,0.12884334,0.09224012,0.03660322,157.0,41,21,,,,,1.0318471337579618,0.2651072124756335,0.74170124,,0,0.2487883683360258,1.382165605095541,86.111867417798,94.65167391898405,,,,,,88,63,1,18,,4,1
Glen Hobbie,1005868,115990,CHC,2.0369904041290283,,2.42,4.258388498582277,,4.1443565792804025,,,,0.12146226,0.06367925,0.05778302,198.2,36,29,,,,,1.1778521379057365,0.2746585735963581,0.66782307,,2,0.2626903553299492,1.3137581538179366,103.21091888783738,102.68604933926431,,,,,,103,54,6,26,,7,2
Bob Anderson,1000219,110253,CHC,1.8156012296676636,,1.84,4.2631578947368425,,3.6528344304938063,,,,0.14567527,0.08497724,0.06069803,152.0,57,12,,,,,0.8289473684210527,0.3014256619144603,0.67365269,,8,0.2695507487520798,1.4342105263157894,103.32651514210512,90.77298583017438,,,,,,96,56,2,14,,1,0
Ray Sadecki,1011360,121609,STL,1.815379858016968,,4.04,3.718562279662722,,4.599335840004985,,,,0.12012645,0.10748156,0.01264489,222.2,31,31,,,,,1.1317363459843066,0.2393162393162393,0.76776165,,0,0.2322274881516587,1.338323139298902,86.2890193629716,108.87090426537908,,,,,,114,102,3,28,,13,0
Gary Bell,1000806,110822,CLE,1.72856342792511,,0.68,4.099270712188832,,4.360748654565322,,,,0.1639839,0.10060362,0.06338028,228.1,34,34,,,,,1.2613140652888712,0.2626262626262626,0.70857558,,0,0.240990990990991,1.3751826961830056,104.43838929318969,109.301285148421,,,,,,163,100,6,32,,11,2
Bud Daley,1002942,113008,- - -,1.7176482677459717,,-0.44,4.282757127787309,,4.16181754302771,,,,0.13934426,0.08548009,0.05386417,193.1,39,27,,,,,1.0706892819468272,0.2984126984126984,0.70552147,,1,0.2733160621761658,1.4689650051830865,108.72526770299952,104.56711349358946,,,,,,119,73,9,23,,9,0
Frank Sullivan,1012691,122945,PHI,1.686359167098999,,0.62,4.292887988556289,,3.822841316053312,,,,0.16593886,0.08005822,0.08588064,159.1,49,18,,,,,1.0732219971390722,0.2874493927125506,0.65843621,,6,0.2567783094098884,1.3556488384914596,106.50880262919496,97.13860209770496,,,,,,114,55,5,19,,1,1
Earl Francis,1004289,114372,PIT,1.680656671524048,,0.25,4.207790748569675,,3.450510134691436,,,,0.11572052,0.10262009,0.01310044,102.2,23,15,,,,,0.3506492290474729,0.3002832861189802,0.64304462,,0,0.2682926829268293,1.529220248901479,104.76176745615084,88.20758085651336,,,,,,53,47,1,4,,0,0
Hoyt Wilhelm,1013945,124261,BAL,1.677774429321289,,2.76,2.297871594409831,,2.8109690519721813,,,,0.18995633,0.08951965,0.10043668,109.2,51,1,,,,,0.4103342132874698,0.2616822429906542,0.77952756,,18,0.2154963680387409,1.1854099494971349,60.14926281980788,71.73194516073,,,,,,87,41,4,5,,0,0
Gene Conley,1002507,112562,BOS,1.6595250368118286,,0.59,4.9131877716442895,,4.612284027474615,,,,0.12884835,0.07411631,0.05473204,199.2,33,30,,,,,1.4874788666446013,0.2956259426847662,0.72169059,,1,0.2830655129789864,1.4724538275875851,116.99561412680472,108.1490061467671,,,,,,113,65,3,33,,6,2
