Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Jim Abbott,1000012,110009,- - -,3.546712636947632,,3.8600000000000003,3.700507327587509,,4.159134429150307,,,,0.10213777,0.0760095,0.02612827,197.0,30,30,,,,,3.9289337058336513,2.923857641550625,1.34375,0.6395938590891991,0.2884615384615384,0.71260767,,0,0.2693298969072165,1.3857866946932649,79.45901731332316,89.10539976071388,,,,1.3241859674453735,-0.3208653818025451,86,64,2,14,16,4,1,81
Tom Gordon,282,114971,KCR,3.510518789291382,,1.39,4.428571428571429,,4.14562498980729,,,,0.14116251,0.10557533,0.03558719,189.0,31,31,,,,,5.666666666666667,4.238095238095238,1.33707865,0.5714285714285714,0.3101777059773828,0.66738044,,0,0.272,1.5502645502645502,92.05925453412652,87.88542398247114,,,,0.5019620656967163,0.3775044693562064,119,89,4,12,15,2,0,93
Jack McDowell,1008473,118656,NYY,3.4751780033111572,,4.02,3.9280244105101136,,4.29778390272209,,,,0.16936354,0.08414239,0.08522114,217.2,30,30,,,,,6.491577183685135,3.225114779155672,2.01282051,1.0336906343447667,0.2809667673716012,0.72586873,,0,0.25,1.3277181925583892,86.00979206391067,92.82864077663191,,,,2.0104498863220215,1.0365777827617468,157,78,5,25,19,8,2,95
Scott Erickson,137,113884,- - -,3.3521234542131424,,2.62,4.813242909073444,,4.31552108754219,,,,0.12679426,0.08014354,0.04665072,196.1,32,31,,,,,4.859083317731286,3.0713073800754356,1.58208955,0.8251273558411617,0.3046875,0.6812933,,0,0.2787958115183246,1.4261460471328722,100.58821489533156,91.88161059448746,,,,-0.6407900226768106,-1.4679966737429326,106,67,5,18,14,7,2,105
Andy Benes,1144,110854,- - -,3.3420625925064087,,1.51,4.755963569065119,,3.8959575423234343,,,,0.21137206,0.09641533,0.11495674,181.2,31,31,,,,,8.471560107397243,3.864220399865409,2.19230769,0.8917431691997098,0.3264925373134328,0.675139,,0,0.2662068965517241,1.4917432027970454,110.35614019244755,87.82813851510078,,,,-0.6500620171427727,-0.7639473391703887,171,78,6,18,17,1,1,96
Dennis Martinez,1008161,118371,CLE,3.3191187381744385,,5.69,3.0802139037433154,,4.1567728833081246,,,,0.12840467,0.05966278,0.06874189,187.0,28,28,,,,,4.764705882352941,2.213903743315508,2.15217391,0.8181818181818182,0.2629815745393635,0.77329491,,0,0.244039270687237,1.1764705882352942,64.70633617014374,89.38407792351215,,,,2.4311299324035645,-0.2765706442583568,99,46,12,17,21,3,2,64
Jaime Navarro,1009465,119667,CHC,3.3095498085021973,,4.06,3.279534442873373,,3.9418993620952705,,,,0.15292712,0.06690562,0.08602151,200.1,29,29,,,,,5.75041655736701,2.5158072438480668,2.28571429,0.8535774577341656,0.277337559429477,0.76855124,,0,0.2493573264781491,1.2479202598452712,77.64454367682039,91.58881412782712,,,,3.181702136993408,0.6908991835289315,128,56,3,19,21,1,1,73
Andy Ashby,637,110351,SDP,3.2747933864593506,,4.92,2.9429064967038245,,3.8299405269122913,,,,0.1875,0.0775,0.11,192.2,31,31,,,,,7.006920230247201,2.896193695168843,2.41935484,0.7941176260946828,0.2910714285714286,0.7591623,,0,0.2475928473177441,1.2560553301628317,72.86074461379047,90.40810995510188,,,,2.0780680179595947,1.414706709276191,150,62,11,17,18,2,2,63
Charles Nagy,397,119640,CLE,3.2070603370666504,,2.41,4.550561797752809,,4.131386835119698,,,,0.18028534,0.07911803,0.10116732,178.0,29,29,,,,,7.02808988764045,3.0842696629213484,2.27868852,1.0112359550561798,0.3192660550458716,0.71244635,,0,0.2755681818181818,1.4325842696629214,95.594069324396,88.84301908660449,,,,0.1351542025804519,0.6981799606068607,139,61,6,20,14,2,1,90
Andy Pettitte,840,120485,NYY,3.2058377116918564,,2.93,4.165714387870324,,4.0118683983316235,,,,0.15302013,0.08456376,0.06845638,175.0,31,26,,,,,5.862857286632308,3.2400000794546964,1.80952381,0.7714285903463562,0.3043478260869565,0.71238938,,0,0.2687224669603524,1.4057143201866935,91.21435888730583,86.70589011176598,,,,1.4347160421311855,0.3944482251386858,114,63,1,15,14,3,0,81
