Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Carmelo Martinez,1008157,118361,LF,SDP,3.3737463434303248,,3.58,17.338281382256827,-4.7849955558776855,-1.8053959819953889,,,,,127.61081850169468,0.3552931862951115,,,,,0.795694245,0.43385214,0.361842105,0.252918287,0.180933853,0.262650602,150,610,514,64,72,21,50,223,130,80,28,1,0,87,4,82,0.134426229,0.14262295,1.060975609,,,0.7005239725112915,-2.2450308077648193,,,,,2.0,,,,,,,,1317.2
Rance Mulliniks,1009309,119506,3B,TOR,3.3321379553688923,,3.17,14.504293332691253,3.5731597542762756,0.2390288081951439,,,,,127.88221087450812,0.371255506040915,,,,,0.836181019,0.453551912,0.382629107,0.295081967,0.158469945,0.319218241,129,427,366,55,57,10,37,166,108,71,26,1,2,55,2,54,0.1264637,0.12880562,1.018518518,,,2.2025957107543945,0.445556716943893,,,,,3.0,,,,,,,,835.2
George Bell,1000808,110823,LF,TOR,3.3013327806952377,,4.09,13.134607595737894,-3.070986270904541,1.6204234168399123,,,,,114.40729972999848,0.3505898146918326,,,,,0.806734246,0.479406919,0.327327327,0.275123558,0.204283361,0.279678068,157,667,607,87,95,28,62,291,167,105,28,6,21,43,6,90,0.134932533,0.064467766,0.477777777,,,1.9643572568893433,-0.0409553187202118,,,,,4.0,,,,,,,,1378.0
Mike Young,1014386,124708,LF,BAL,3.262270508724064,,3.23,18.80267857761862,-3.836074352264404,-1.9418582728831095,,,,,134.35171783487175,0.3756055663149041,,,,,0.861245857,0.513333333,0.347912524,0.273333333,0.24,0.297805642,139,504,450,72,81,28,51,231,123,72,22,1,1,48,5,104,0.206349206,0.095238095,0.461538461,,,1.7016938924789429,-0.1494311325524224,,,,,4.0,,,,,,,,746.1
Alan Trammell,1013157,123437,SS,DET,3.227387216872392,,3.0,-6.998460822514801,16.18932056427002,0.6010229537496343,,,,,90.6453045874509,0.3071183150808617,,,,,0.692477601,0.380165289,0.312312312,0.257851239,0.12231405,0.26981132,149,678,605,79,57,13,41,230,156,115,21,7,14,50,4,71,0.104719764,0.073746312,0.704225352,,,-2.4223737716674805,-1.171843335267348,,,,,8.0,,,,,,,,1326.2
Gary Pettis,1010249,120481,CF,CAL,3.168887168490471,,3.76,2.064182438318693,12.0,7.418909726082347,,,,,91.33910229743228,0.3101379470477207,,,,,0.669939136,0.322799097,0.347140039,0.257336343,0.065462754,0.354231974,125,516,443,67,32,1,19,143,114,95,10,8,56,62,0,125,0.242248062,0.120155038,0.496,,,0.6536397337913513,0.4956211286299953,,,,,12.0,,,,,,,,1054.2
Alvin Davis,1003033,113096,1B,SEA,3.138270649696159,,2.96,19.08101539854449,-11.17695426940918,-0.8532839472172782,,,,,124.57466238779,0.3650900932390298,,,,,0.822269527,0.44117647,0.381093057,0.287197231,0.153979239,0.298387096,155,677,578,78,78,18,52,255,166,114,33,1,1,90,7,71,0.104874446,0.132939438,1.267605633,,,-0.0883138552308082,-2.1231279163170096,,,,,-2.0,,,,,,,,1338.0
Jose Cruz,1002841,112902,LF,HOU,3.1076748391922626,,3.09,14.800089885832524,-4.1368303298950195,1.0191971271997318,,,,,120.5498705891784,0.3396272574005455,,,,,0.77562313,0.426470588,0.349152542,0.299632352,0.126838236,0.331896551,141,590,544,69,79,9,47,232,163,116,34,4,16,43,10,74,0.125423728,0.072881355,0.581081081,,,2.5571999549865723,0.4794236960833937,,,,,2.0,,,,,,,,1202.0
Mike Marshall,1008145,118319,RF,LAD,3.0798835829115547,,3.54,22.95929058524228,-12.097410202026367,-3.542217667330988,,,,,141.34045355337923,0.371711343848448,,,,,0.857081025,0.515444015,0.34163701,0.293436293,0.222007722,0.347338935,135,564,518,72,95,28,57,267,152,95,27,2,3,37,6,137,0.242907801,0.065602836,0.270072992,,,3.6687262058258057,-0.7559104780773818,,,,,-6.0,,,,,,,,1164.2
Floyd Rayford,1010724,120958,3B,BAL,3.065597612645708,,2.92,13.645578085774236,3.624716639518738,0.0986720528453588,,,,,130.39292033174735,0.3695341877035192,,,,,0.845215688,0.520891364,0.324324324,0.306406685,0.214484679,0.336996336,105,372,359,55,48,18,40,187,110,70,21,1,3,10,0,69,0.18548387,0.02688172,0.144927536,,,0.2607901394367218,0.0422354127334511,,,,,2.0,,,,,,,,800.4000000000001
Dave Winfield,1014127,124448,RF,NYY,3.034235198380588,,3.41,14.74369232721336,-8.172477722167969,0.8203515307977796,,,,,116.8655102391705,0.3474719149775792,,,,,0.798785702,0.470774091,0.328011611,0.274881516,0.195892575,0.28737864,155,689,633,105,114,26,66,298,174,108,34,6,19,52,8,96,0.139332365,0.075471698,0.541666666,,,3.2453579902648926,1.3368058658418551,,,,,-1.0,,,,,,,,1352.1
Chris Brown,1001503,111559,3B,SFG,3.0308264938572367,,2.88,12.623713313758277,0.6998147964477539,-0.9520997483050452,,,,,124.78007181930944,0.3493838101562964,,,,,0.787243974,0.442129629,0.345114345,0.270833333,0.171296296,0.298816568,131,482,432,50,61,16,39,191,117,78,20,3,2,38,4,78,0.161825726,0.078838174,0.487179487,,,2.3733584880828857,0.5232559801100298,,,,,0.0,,,,,,,,1020.1
Dwayne Murphy,1009359,119551,CF,OAK,2.987953988307079,,2.93,6.536554928783934,2.0,-1.397678921232,,,,,110.69767995079587,0.3331302453179992,,,,,0.740008469,0.39961759,0.340390879,0.233269598,0.166347992,0.265625,152,619,523,77,59,20,44,209,122,78,21,3,4,84,3,123,0.198707592,0.135702746,0.682926829,,,-0.1064319610595703,-0.670865515331367,,,,,2.0,,,,,,,,1298.0
