Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Socks Seibold,1011728,121981.0,BSN,2.5850934982299805,,4.26,4.123505976095617,,4.79858923224339,,,,0.06311993,0.07664563,-0.0135257,251.0,36,33,,,,,0.5737051792828686,0.2905982905982906,0.68065797,,2,0.2818003913894324,1.4860557768924303,85.63706742540873,100.9780557175003,,,,,,70,85,2,16.0,,20,1,115
Jack Russell,1011313,121567.0,BOS,2.5390655994415283,,-0.09,5.447023829020445,,4.537178976993489,,,,0.03411306,0.05165692,-0.01754386,229.2,35,30,,,,,0.4310594397066539,0.3149350649350649,0.57209574,,0,0.311340206185567,1.5457181928874963,120.00198309755824,99.12081730269358,,,,,,35,53,3,11.0,,15,0,139
Red Lucas,1007808,117973.0,CIN,2.5079212188720703,,1.45,5.382910482663181,,4.5511232196702425,,,,0.05717368,0.04746494,0.00970874,210.2,33,28,,,,,0.6408226765075217,0.3132678132678133,0.6122449,,1,0.3061224489795918,1.490506077210087,113.21137796214398,97.05514551487248,,,,,,53,44,1,15.0,,18,1,126
Lloyd Brown,1001540,111571.0,WAS,2.499779462814331,,3.19,4.248730964467005,,4.3507764225683845,,,,0.06973995,0.07683215,-0.0070922,197.0,38,22,,,,,0.2741116751269035,0.3009845288326301,0.67826705,,0,0.2835051546391752,1.4467005076142132,92.40025414496932,93.793650995647,,,,,,59,65,5,6.0,,10,1,93
Watson Clark,1002315,112348.0,BRO,2.4229843616485596,,2.86,4.185,,4.547832260131836,,,,0.09794438,0.04594921,0.05199516,200.0,44,24,,,,,0.9,0.2747093023255814,0.62557078,,6,0.26489226869455,1.235,85.97801677528798,94.73877879693757,,,,,,81,38,0,20.0,,9,1,93
Herb Pennock,1010161,120386.0,NYY,2.4032795429229736,,0.96,4.317698211471052,,3.948386736022082,,,,0.06804734,0.0295858,0.03846154,156.1,25,19,,,,,0.4605544758902456,0.3089700996677741,0.58678501,,0,0.2957317073170731,1.3688702477848966,97.98806958266302,88.74491054643492,,,,,,46,20,0,8.0,,11,1,75
Jesse Haines,1005209,115314.0,STL,2.351797580718994,,2.2,4.302197802197802,,4.718601490901067,,,,0.08640407,0.06861499,0.01778907,182.0,29,24,,,,,0.7417582417582418,0.3081664098613251,0.65461847,,1,0.2937158469945355,1.478021978021978,86.03308702484752,95.63194557565784,,,,,,68,54,1,15.0,,14,0,87
Luis Tiant,1016584,,CSW,2.350421190261841,,0.0,3.7241368759131745,,,,,,,,,125.2,20,17,,,,,,,,,0,0.2698915754710155,1.3766574348995282,78.56667205791808,,,,,,,80,42,2,,,12,1,52
Benny Frey,1004342,114426.0,CIN,2.313990592956543,,2.99,4.702040816326531,,4.728648586662448,,,,0.04056604,0.05849057,-0.01792453,245.0,44,28,,,,,0.5510204081632653,0.2988260405549626,0.62536873,,1,0.2964824120603015,1.457142857142857,98.89157952097408,100.78879322927392,,,,,,43,62,3,15.0,,14,2,128
Pat Caraway,1001933,111977.0,CHW,2.2938201427459717,,4.43,3.8637938149960407,,4.299901375197939,,,,0.10221675,0.07019704,0.0320197,193.1,38,21,,,,,0.5120690598187524,0.2781155015197568,0.66219614,,1,0.2579787234042553,1.2982761011566348,85.99154990471385,94.85229051291448,,,,,,83,57,3,11.0,,9,1,83
Red Faber,1003889,113965.0,CHW,2.288551092147827,,2.17,4.207100591715976,,4.251145869599292,,,,0.08355795,0.06603774,0.01752022,169.0,29,26,,,,,0.3727810650887574,0.2924071082390953,0.60723514,,1,0.2732558139534883,1.4023668639053255,93.63209265530288,93.76720116975552,,,,,,62,49,5,7.0,,10,0,79
Murray Gillispie,1015252,,- - -,2.245101012289524,,0.0,4.295457444902281,,,,,,,,,102.2,17,13,,,,,,,,,1,0.2470613967607745,1.2857151535761928,90.61960063689357,,,,,,,55,37,2,,,7,0,49
Frog Holsey,1015471,,CAG,2.2308197021484375,,0.0,4.796052631578948,,,,,,,,,152.0,21,15,,,,,,,,,1,0.2655746693167021,1.3092105263157894,101.18046324099804,,,,,,,64,44,0,,,11,1,81
