Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
Lance Parrish,1010021,120248,C,DET,2.974668339695666,,2.8,-1.4075887647114915,9.996570110321043,-0.819936658575898,,,,,99.20186802366018,0.3203249331833659,,,,,0.729987913,0.442906574,0.287081339,0.237024221,0.205882353,0.241299303,147,629,578,75,98,33,51,256,137,86,16,2,2,41,6,120,0.190779014,0.065182829,,,-0.3394465744495392,-0.2415379217543997,,,,,5.0,,,,,,,
Mookie Wilson,1014096,124434,CF,NYM,2.920251433989168,,3.81,7.378552090708531,0.0,5.622738374047913,,,,,102.52099144924422,0.3189120881925753,,,,,0.716800256,0.408858603,0.307941653,0.275979557,0.132879046,0.310838445,154,619,587,88,54,10,48,240,162,114,28,10,46,26,2,90,0.145395799,0.042003231,,,1.7857580184936523,0.0848731867981165,,,,,0.0,,,,,,,
Jesse Barfield,1000537,110559,RF,TOR,2.914990302378462,,2.84,10.11352735988651,6.6944451332092285,0.7823832426802255,,,,,122.1430507519964,0.3635804750825052,,,,,0.822170961,0.465625,0.356545961,0.284375,0.18125,0.339207048,110,360,320,51,49,14,29,149,91,62,14,1,8,35,5,81,0.225,0.097222222,,,0.4404959380626678,-0.3304674722545912,,,,,11.0,,,,,,,
Gary Gaetti,1004422,114508,3B,MIN,2.9004640887697724,,3.18,-14.200606892021836,22.61259949207306,0.1819121087028179,,,,,80.921064128294,0.3024008319713175,,,,,0.665472741,0.350340136,0.315132605,0.261904761,0.088435375,0.293885601,162,644,588,55,65,5,38,206,154,116,29,4,11,44,1,81,0.125776397,0.068322981,,,-0.7581799626350403,0.2992370505133933,,,,,22.0,,,,,,,
Darryl Motley,1009260,119454,LF,KCR,2.891776217163543,,2.72,2.404603631282063,8.185525894165039,-2.7488950663537253,,,,,107.9040928741156,0.3365616241156731,,,,,0.759531944,0.440613026,0.318918918,0.283524904,0.157088122,0.303652968,146,557,522,64,70,15,46,230,148,102,25,6,10,28,2,73,0.131059245,0.050269299,,,-1.1282497644424438,-0.8918314938718732,,,,,14.0,,,,,,,
Brett Butler,1001772,111812,CF,CLE,2.77322916803668,,3.65,3.8982117252692374,-0.0051440321840345,1.7018031126935966,,,,,102.64650038792882,0.3301696137684147,,,,,0.716513245,0.355481727,0.361031518,0.26910299,0.086378737,0.292817679,159,709,602,108,49,3,37,214,162,125,25,9,52,86,1,62,0.087447108,0.121297602,,,0.9575815200805664,0.1548735802359028,,,,,0.0,,,,,,,
Mickey Hatcher,1005488,115601,LF,MIN,2.7596658614884895,,3.18,0.6561226161383775,6.706792831420898,-0.451344160042936,,,,,101.5161814393021,0.3337815585636323,,,,,0.74814406,0.40625,0.34189406,0.302083333,0.104166667,0.310091743,152,624,576,61,69,5,45,234,174,129,35,5,0,37,3,34,0.054487179,0.059294871,,,1.4582443237304688,0.8868172492802138,,,,,16.0,,,,,,,
Tony Armas,1000305,110318,CF,BOS,2.759259784742236,,2.63,13.715892394072466,-9.364197492599487,-1.0181342984433286,,,,,118.5377378868644,0.3585019124088002,,,,,0.830958257,0.530516431,0.300441826,0.267605633,0.262910798,0.286353467,157,679,639,107,123,43,77,339,171,94,29,5,1,32,9,156,0.229749631,0.047128129,,,-1.1849782466888428,-2.367756162557996,,,,,-6.0,,,,,,,
Gary Matthews Sr.,1008255,118433,LF,CHC,2.7558992075281865,,3.19,24.218704854718776,-18.78873348236084,0.1893713813624344,,,,,135.1254364612508,0.3805560019390642,,,,,0.837912742,0.427698574,0.410214168,0.291242362,0.136456212,0.33076923,147,608,491,101,82,14,37,210,143,106,21,2,17,103,2,97,0.159539473,0.169407894,,,4.7828898429870605,1.4162071919287218,,,,,-13.0,,,,,,,
Tom Brunansky,1001589,111629,RF,MIN,2.7184974866775535,,2.78,6.226365425919328,0.0984063148498535,-1.211959877575282,,,,,110.11860361078156,0.3468890468152567,,,,,0.780381154,0.46031746,0.320063694,0.253968253,0.206349207,0.251685393,155,628,567,75,85,32,53,261,144,91,21,0,4,57,2,94,0.149681528,0.090764331,,,1.0925577878952026,-0.3904594232289124,,,,,7.0,,,,,,,
